time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r
0.490547,"(-0.047719, 0.00534, 0.026769)","(0.048064, 0.996855, 0.063003)","(-0.679827, -0.7326, -0.03365)","(0.873241, -0.351582, -0.337402)","(-0.451105, 0.448225, 0.771751)","(0.196685, -0.74702, 0.63504)","(-0.310345, -0.811797, 0.494643)","(0.001446, -0.984769, 0.173865)","(0.144279, -0.804283, -0.576466)","(0.589965, -0.585976, -0.555494)"
0.548868,"(-0.063414, 0.012579, 0.025703)","(0.011039, 0.99785, 0.064609)","(-0.712322, -0.701844, -0.00347)","(0.897393, -0.205178, -0.390626)","(-0.478244, 0.49125, 0.727981)","(0.233612, -0.753214, 0.614894)","(-0.275083, -0.831134, 0.483267)","(0.050896, -0.985531, 0.161673)","(0.160194, -0.809133, -0.565369)","(0.579812, -0.603689, -0.547154)"
0.586121,"(-0.07917, 0.03044, 0.023513)","(-0.025578, 0.99757, 0.064806)","(-0.723812, -0.689802, 0.0164)","(0.894918, -0.160724, -0.416281)","(-0.530636, 0.483817, 0.695951)","(0.241676, -0.711573, 0.65974)","(-0.205533, -0.859303, 0.468354)","(0.108509, -0.983185, 0.146881)","(0.154595, -0.823686, -0.545565)","(0.546081, -0.648607, -0.530193)"
0.626144,"(-0.089489, 0.043281, 0.021762)","(-0.048544, 0.996753, 0.064236)","(-0.722033, -0.691399, 0.025228)","(0.88705, -0.19088, -0.420366)","(-0.580075, 0.448586, 0.679914)","(0.231849, -0.640651, 0.731992)","(-0.146441, -0.877569, 0.456538)","(0.140532, -0.980197, 0.139519)","(0.140606, -0.83506, -0.531888)","(0.509554, -0.685447, -0.520112)"
0.664745,"(-0.100165, 0.053909, 0.019252)","(-0.072283, 0.995383, 0.063148)","(-0.712012, -0.70137, 0.033444)","(0.872257, -0.280805, -0.400395)","(-0.648403, 0.375691, 0.662141)","(0.208441, -0.488053, 0.84756)","(-0.08339, -0.893869, 0.440505)","(0.165704, -0.976312, 0.139133)","(0.107493, -0.845927, -0.522353)","(0.458337, -0.723191, -0.516646)"
0.703703,"(-0.110099, 0.05887, 0.016426)","(-0.093868, 0.993612, 0.062651)","(-0.695863, -0.71709, 0.039456)","(0.849652, -0.407437, -0.334793)","(-0.716674, 0.269475, 0.643243)","(0.182892, -0.252175, 0.950241)","(-0.028574, -0.907235, 0.419654)","(0.181675, -0.971965, 0.149262)","(0.053807, -0.852014, -0.520747)","(0.400314, -0.752323, -0.523219)"
0.745119,"(-0.119566, 0.057972, 0.013181)","(-0.113985, 0.991473, 0.063156)","(-0.673006, -0.738284, 0.044728)","(0.817942, -0.531126, -0.221079)","(-0.775221, 0.133874, 0.617341)","(0.166688, 0.029097, 0.98558)","(0.018141, -0.920193, 0.391044)","(0.194726, -0.96545, 0.173173)","(-0.016734, -0.851442, -0.524182)","(0.338944, -0.771038, -0.53909)"
0.806971,"(-0.12883, 0.050065, 0.009326)","(-0.133191, 0.988973, 0.064751)","(-0.646098, -0.761675, 0.049076)","(0.782644, -0.615888, -0.090278)","(-0.812659, -0.022409, 0.582308)","(0.163835, 0.279411, 0.946091)","(0.056637, -0.932981, 0.355443)","(0.213175, -0.952729, 0.216483)","(-0.098936, -0.840597, -0.532549)","(0.280723, -0.775137, -0.566002)"
0.882082,"(-0.140817, 0.028543, 0.002987)","(-0.157158, 0.985184, 0.068658)","(-0.602428, -0.796251, 0.055366)","(0.731601, -0.680672, 0.038028)","(-0.818642, -0.230637, 0.525958)","(0.181818, 0.473271, 0.86195)","(0.095857, -0.948704, 0.301283)","(0.259159, -0.917192, 0.302647)","(-0.207181, -0.811274, -0.546727)","(0.225756, -0.754867, -0.6158)"
0.917019,"(-0.151975, 0.004664, -0.005471)","(-0.177957, 0.981281, 0.073607)","(-0.564952, -0.822386, 0.067167)","(0.648312, -0.748377, 0.140085)","(-0.792408, -0.366546, 0.487579)","(0.239048, 0.556309, 0.79585)","(0.125668, -0.96208, 0.242094)","(0.310951, -0.870341, 0.381859)","(-0.27248, -0.79567, -0.540985)","(0.209288, -0.72792, -0.65294)"
0.957012,"(-0.15578, 0.000293, -0.009511)","(-0.184383, 0.979969, 0.075259)","(-0.55628, -0.827571, 0.075357)","(0.605294, -0.778199, 0.167408)","(-0.784534, -0.380366, 0.489723)","(0.267928, 0.549478, 0.791384)","(0.134359, -0.965314, 0.223866)","(0.320764, -0.859936, 0.397015)","(-0.278614, -0.801723, -0.528787)","(0.211951, -0.725463, -0.654814)"
1.013908,"(-0.159013, 0.00163, -0.014161)","(-0.18919, 0.978971, 0.076314)","(-0.55191, -0.829209, 0.088364)","(0.558937, -0.808797, 0.182857)","(-0.782316, -0.360169, 0.508193)","(0.297038, 0.507829, 0.808627)","(0.138235, -0.966735, 0.215207)","(0.319241, -0.859443, 0.399303)","(-0.277286, -0.812586, -0.512656)","(0.221664, -0.730094, -0.646396)"
1.050587,"(-0.161533, 0.014843, -0.020457)","(-0.19139, 0.978553, 0.076185)","(-0.554675, -0.824222, 0.113988)","(0.521424, -0.833815, 0.181299)","(-0.786535, -0.263759, 0.558385)","(0.32385, 0.398683, 0.858005)","(0.139178, -0.961827, 0.235622)","(0.295937, -0.880072, 0.371343)","(-0.269713, -0.826874, -0.493492)","(0.250852, -0.749445, -0.612703)"
1.089243,"(-0.161897, 0.028317, -0.024316)","(-0.189946, 0.978929, 0.07496)","(-0.561435, -0.816593, 0.13404)","(0.514965, -0.839302, 0.174307)","(-0.786371, -0.159115, 0.596911)","(0.335324, 0.307241, 0.890596)","(0.137792, -0.952342, 0.272137)","(0.275765, -0.899896, 0.337848)","(-0.263339, -0.833337, -0.486006)","(0.28497, -0.764837, -0.577768)"
1.12854,"(-0.161197, 0.042797, -0.028139)","(-0.185958, 0.979874, 0.072572)","(-0.572025, -0.805176, 0.156459)","(0.525728, -0.835176, 0.161526)","(-0.774288, -0.018217, 0.632571)","(0.339358, 0.194141, 0.920405)","(0.121893, -0.944717, 0.304388)","(0.25874, -0.918459, 0.299144)","(-0.247241, -0.846172, -0.472086)","(0.338999, -0.774227, -0.534464)"
1.168861,"(-0.159372, 0.053883, -0.031679)","(-0.179305, 0.981371, 0.069004)","(-0.584357, -0.791403, 0.179464)","(0.55921, -0.81779, 0.136033)","(-0.742315, 0.144746, 0.654231)","(0.327793, 0.054378, 0.943183)","(0.10264, -0.933237, 0.344286)","(0.249978, -0.93183, 0.263066)","(-0.21754, -0.85968, -0.462198)","(0.402681, -0.773265, -0.489805)"
1.210705,"(-0.156295, 0.059044, -0.034908)","(-0.169783, 0.983373, 0.06444)","(-0.597521, -0.776362, 0.200577)","(0.616515, -0.780802, 0.101282)","(-0.685123, 0.312516, 0.657982)","(0.30855, -0.105595, 0.945329)","(0.082174, -0.913036, 0.399515)","(0.246763, -0.940176, 0.234897)","(-0.169969, -0.870122, -0.4626)","(0.466114, -0.761494, -0.450405)"
1.250338,"(-0.151813, 0.057319, -0.037756)","(-0.157128, 0.985792, 0.059371)","(-0.60859, -0.762582, 0.219286)","(0.691738, -0.71899, 0.067468)","(-0.606298, 0.466162, 0.644279)","(0.298049, -0.266912, 0.916474)","(0.053451, -0.885446, 0.461659)","(0.242551, -0.945547, 0.217048)","(-0.099635, -0.876748, -0.470517)","(0.520902, -0.741268, -0.4233)"
1.290514,"(-0.146387, 0.049589, -0.039967)","(-0.142683, 0.988249, 0.054819)","(-0.61536, -0.753315, 0.232053)","(0.762105, -0.645699, 0.047636)","(-0.524601, 0.577462, 0.625566)","(0.30468, -0.393391, 0.867418)","(0.017375, -0.857552, 0.514104)","(0.231225, -0.949406, 0.212517)","(-0.019643, -0.87715, -0.479815)","(0.560713, -0.716361, -0.415245)"
1.330515,"(-0.139743, 0.037013, -0.041711)","(-0.12578, 0.990743, 0.051067)","(-0.617826, -0.748843, 0.239845)","(0.818438, -0.573139, 0.040885)","(-0.447624, 0.652228, 0.611745)","(0.324326, -0.480482, 0.814831)","(-0.027406, -0.830803, 0.555891)","(0.208905, -0.952623, 0.221061)","(0.061588, -0.870197, -0.48884)","(0.591578, -0.685803, -0.423922)"
1.369076,"(-0.132099, 0.023161, -0.042889)","(-0.106902, 0.993078, 0.048666)","(-0.614662, -0.750715, 0.24211)","(0.854323, -0.51815, 0.040661)","(-0.387295, 0.689827, 0.611671)","(0.341962, -0.530448, 0.775685)","(-0.076514, -0.808089, 0.584071)","(0.178349, -0.954808, 0.237768)","(0.127022, -0.859017, -0.495939)","(0.613235, -0.65506, -0.441406)"
1.408163,"(-0.123853, 0.012245, -0.043528)","(-0.086968, 0.995067, 0.047729)","(-0.606658, -0.758301, 0.238633)","(0.871504, -0.488837, 0.038973)","(-0.348394, 0.694507, 0.629509)","(0.346542, -0.55333, 0.757452)","(-0.124198, -0.791246, 0.598753)","(0.149651, -0.955393, 0.254615)","(0.165823, -0.849577, -0.500721)","(0.626081, -0.631197, -0.457836)"
1.448299,"(-0.11469, 0.006181, -0.043709)","(-0.06527, 0.996707, 0.048111)","(-0.592596, -0.772486, 0.228243)","(0.875894, -0.481641, 0.028857)","(-0.328353, 0.667258, 0.668544)","(0.332051, -0.559907, 0.759109)","(-0.167025, -0.779562, 0.603643)","(0.125093, -0.955825, 0.265989)","(0.182399, -0.844502, -0.503534)","(0.630327, -0.617889, -0.470001)"
1.488005,"(-0.104606, 0.00605, -0.043348)","(-0.041776, 0.997921, 0.049072)","(-0.569856, -0.79536, 0.206558)","(0.870886, -0.491482, 0.001923)","(-0.323943, 0.597169, 0.733792)","(0.291826, -0.552341, 0.78087)","(-0.194906, -0.776945, 0.598638)","(0.108423, -0.956882, 0.269482)","(0.18681, -0.846223, -0.499007)","(0.62439, -0.617743, -0.478048)"
1.527277,"(-0.094135, 0.012006, -0.042303)","(-0.017751, 0.998616, 0.049507)","(-0.540289, -0.823842, 0.171381)","(0.854134, -0.518612, -0.038692)","(-0.327651, 0.478023, 0.814947)","(0.230678, -0.520084, 0.822375)","(-0.204754, -0.785704, 0.583734)","(0.099395, -0.958701, 0.266484)","(0.179384, -0.854914, -0.486768)","(0.607701, -0.630712, -0.482599)"
1.567142,"(-0.083484, 0.023054, -0.040617)","(0.006303, 0.998761, 0.049359)","(-0.507592, -0.852863, 0.122376)","(0.82413, -0.56013, -0.084048)","(-0.327798, 0.31055, 0.892249)","(0.160718, -0.451864, 0.87749)","(-0.197355, -0.805129, 0.559301)","(0.095197, -0.960629, 0.261016)","(0.161892, -0.868595, -0.468331)","(0.580184, -0.654639, -0.484598)"
1.608469,"(-0.07256, 0.036847, -0.038331)","(0.030531, 0.998351, 0.048604)","(-0.475414, -0.877619, 0.061363)","(0.780228, -0.613133, -0.123741)","(-0.315938, 0.105123, 0.942938)","(0.098171, -0.339236, 0.935565)","(-0.174817, -0.832942, 0.525021)","(0.089503, -0.962125, 0.257498)","(0.135657, -0.88442, -0.446541)","(0.537108, -0.68725, -0.489083)"
1.65155,"(-0.061348, 0.049743, -0.035387)","(0.05491, 0.997375, 0.047208)","(-0.449205, -0.893404, -0.006571)","(0.727175, -0.670882, -0.145372)","(-0.289458, -0.113765, 0.950406)","(0.056328, -0.189138, 0.980334)","(-0.144766, -0.862434, 0.485027)","(0.079567, -0.962638, 0.258839)","(0.097738, -0.897852, -0.429312)","(0.475017, -0.723414, -0.501029)"
1.693474,"(-0.050091, 0.057792, -0.031681)","(0.078992, 0.995855, 0.04509)","(-0.434305, -0.897788, -0.073182)","(0.675798, -0.723904, -0.138781)","(-0.253614, -0.311976, 0.915615)","(0.039885, -0.025104, 0.998889)","(-0.123226, -0.88364, 0.45166)","(0.067118, -0.961121, 0.267845)","(0.033541, -0.901276, -0.431946)","(0.390955, -0.756613, -0.52411)"
1.737032,"(-0.039715, 0.058835, -0.027638)","(0.100547, 0.994032, 0.042327)","(-0.430454, -0.893801, -0.125815)","(0.63869, -0.762251, -0.105112)","(-0.220291, -0.454115, 0.86328)","(0.04199, 0.113885, 0.992606)","(-0.112545, -0.900705, 0.419599)","(0.05654, -0.957134, 0.284073)","(-0.05041, -0.892677, -0.447869)","(0.297811, -0.778566, -0.552398)"
1.77924,"(-0.02979, 0.053169, -0.023004)","(0.120556, 0.991942, 0.038943)","(-0.437096, -0.884113, -0.165201)","(0.618753, -0.784327, -0.044449)","(-0.18866, -0.549933, 0.813622)","(0.053461, 0.225086, 0.972871)","(-0.110724, -0.922469, 0.369854)","(0.05333, -0.949238, 0.310007)","(-0.147277, -0.874094, -0.462893)","(0.205156, -0.785318, -0.584112)"
1.821793,"(-0.021153, 0.04271, -0.018175)","(0.1375, 0.989869, 0.035406)","(-0.452322, -0.871099, -0.191292)","(0.613909, -0.786694, 0.065036)","(-0.156421, -0.612197, 0.775079)","(0.079313, 0.327373, 0.941561)","(-0.121077, -0.946773, 0.298263)","(0.059466, -0.937053, 0.344086)","(-0.232458, -0.854359, -0.464796)","(0.136526, -0.774592, -0.61755)"
1.861841,"(-0.013554, 0.029064, -0.013045)","(0.151852, 0.98789, 0.031862)","(-0.476656, -0.85472, -0.205555)","(0.616791, -0.754218, 0.225219)","(-0.122874, -0.651285, 0.748819)","(0.119374, 0.427651, 0.896027)","(-0.14297, -0.966995, 0.210905)","(0.073928, -0.919749, 0.385483)","(-0.294512, -0.842879, -0.450352)","(0.095384, -0.749312, -0.655312)"
1.902723,"(-0.00751, 0.015306, -0.008083)","(0.162773, 0.986242, 0.028832)","(-0.505664, -0.837332, -0.207796)","(0.622547, -0.689879, 0.369462)","(-0.096947, -0.663075, 0.742248)","(0.154485, 0.492402, 0.856548)","(-0.15829, -0.974552, 0.158721)","(0.086197, -0.904519, 0.41763)","(-0.33159, -0.831094, -0.446466)","(0.072146, -0.721675, -0.688463)"
1.943008,"(-0.002554, 0.003656, -0.003077)","(0.171248, 0.984878, 0.026267)","(-0.537221, -0.818571, -0.203311)","(0.630926, -0.621869, 0.463909)","(-0.080831, -0.653332, 0.752744)","(0.172629, 0.517301, 0.838212)","(-0.155876, -0.975629, 0.154438)","(0.090655, -0.895202, 0.436342)","(-0.356831, -0.809025, -0.467066)","(0.059931, -0.697393, -0.714179)"
1.98107,"(0.001077, 0.001854, 0.001513)","(0.176812, 0.983941, 0.024443)","(-0.566156, -0.800328, -0.197339)","(0.640563, -0.583132, 0.499637)","(-0.075855, -0.627572, 0.774854)","(0.169411, 0.508707, 0.844108)","(-0.156729, -0.977213, 0.14315)","(0.083201, -0.89762, 0.432847)","(-0.3678, -0.803489, -0.468112)","(0.059506, -0.68978, -0.72157)"
2.018772,"(0.003526, 0.010316, 0.005449)","(0.180166, 0.98336, 0.02333)","(-0.587267, -0.786325, -0.191861)","(0.645886, -0.570935, 0.506818)","(-0.078646, -0.587682, 0.805261)","(0.159728, 0.471228, 0.867428)","(-0.165754, -0.979262, 0.116498)","(0.066556, -0.910416, 0.408305)","(-0.365151, -0.818308, -0.443888)","(0.069523, -0.700644, -0.710116)"
2.059135,"(0.004789, 0.023029, 0.008987)","(0.181062, 0.983203, 0.022978)","(-0.598839, -0.778642, -0.187372)","(0.644909, -0.58557, 0.491121)","(-0.092285, -0.526175, 0.845354)","(0.147358, 0.394354, 0.907067)","(-0.161703, -0.976584, 0.141904)","(0.0428, -0.928387, 0.369142)","(-0.367496, -0.815136, -0.447772)","(0.090572, -0.720216, -0.687812)"
2.096869,"(0.004983, 0.036678, 0.012415)","(0.179687, 0.983436, 0.023815)","(-0.602273, -0.777098, -0.182721)","(0.64108, -0.624584, 0.445995)","(-0.121936, -0.435005, 0.892134)","(0.130631, 0.267843, 0.954566)","(-0.148548, -0.964935, 0.216413)","(0.018175, -0.945181, 0.32604)","(-0.370985, -0.798141, -0.474701)","(0.133864, -0.737489, -0.66196)"
2.135595,"(0.004077, 0.047634, 0.015292)","(0.176165, 0.984018, 0.025965)","(-0.599257, -0.780793, -0.176789)","(0.638717, -0.671907, 0.374943)","(-0.164297, -0.328377, 0.930148)","(0.112688, 0.113292, 0.987151)","(-0.154134, -0.954126, 0.256685)","(0.000742, -0.956631, 0.291301)","(-0.357584, -0.800884, -0.480332)","(0.196389, -0.743724, -0.638988)"
2.173388,"(0.00204, 0.055693, 0.017931)","(0.170246, 0.98496, 0.029493)","(-0.592976, -0.787595, -0.167553)","(0.641129, -0.715768, 0.276822)","(-0.219097, -0.204741, 0.95398)","(0.095939, -0.064632, 0.993287)","(-0.163129, -0.938695, 0.303712)","(-0.010758, -0.965453, 0.260354)","(-0.327363, -0.80774, -0.490295)","(0.274624, -0.739346, -0.614776)"
2.212606,"(-0.000986, 0.059192, 0.020202)","(0.162157, 0.986177, 0.034048)","(-0.587242, -0.794431, -0.155007)","(0.648544, -0.742447, 0.167817)","(-0.276284, -0.081277, 0.957633)","(0.082478, -0.236475, 0.968131)","(-0.176191, -0.916777, 0.358437)","(-0.016513, -0.972351, 0.232939)","(-0.279174, -0.81538, -0.507167)","(0.352234, -0.726362, -0.590195)"
2.250675,"(-0.005276, 0.057055, 0.022176)","(0.15127, 0.9877, 0.039566)","(-0.585277, -0.798765, -0.139375)","(0.670248, -0.739868, 0.057985)","(-0.330482, 0.037602, 0.943063)","(0.079333, -0.387229, 0.918564)","(-0.19787, -0.888281, 0.414494)","(-0.018813, -0.977966, 0.207913)","(-0.20808, -0.822794, -0.528878)","(0.422655, -0.706091, -0.568154)"
2.289188,"(-0.010743, 0.049608, 0.024084)","(0.138258, 0.989364, 0.045203)","(-0.588075, -0.799383, -0.123109)","(0.69353, -0.719615, -0.034222)","(-0.373022, 0.136616, 0.917709)","(0.082784, -0.499619, 0.86228)","(-0.224019, -0.860424, 0.457696)","(-0.019333, -0.981959, 0.188105)","(-0.124838, -0.826237, -0.549316)","(0.476948, -0.681963, -0.55448)"
2.328033,"(-0.016853, 0.037465, 0.025171)","(0.122697, 0.991149, 0.050689)","(-0.597661, -0.794489, -0.107651)","(0.721994, -0.683734, -0.105988)","(-0.403499, 0.216821, 0.888919)","(0.093683, -0.57695, 0.811389)","(-0.255707, -0.834986, 0.48725)","(-0.022369, -0.983803, 0.177854)","(-0.035119, -0.824266, -0.565113)","(0.519405, -0.653693, -0.550366)"
2.366867,"(-0.024243, 0.023967, 0.026156)","(0.104701, 0.99295, 0.055562)","(-0.612408, -0.785307, -0.090828)","(0.75908, -0.628468, -0.169778)","(-0.424289, 0.286112, 0.859139)","(0.11173, -0.635721, 0.76379)","(-0.283337, -0.817454, 0.501487)","(-0.025559, -0.984277, 0.174771)","(0.043309, -0.817266, -0.574631)","(0.550899, -0.625527, -0.552473)"
2.405344,"(-0.032515, 0.012746, 0.026744)","(0.084612, 0.994641, 0.059412)","(-0.635371, -0.768973, -0.070599)","(0.805915, -0.541545, -0.239229)","(-0.437061, 0.354519, 0.826616)","(0.140265, -0.68859, 0.711456)","(-0.303766, -0.808685, 0.503741)","(-0.02343, -0.984152, 0.175772)","(0.098804, -0.809698, -0.578469)","(0.573903, -0.601813, -0.555389)"
2.448399,"(-0.041493, 0.006422, 0.026904)","(0.062965, 0.99609, 0.061968)","(-0.66221, -0.747761, -0.048279)","(0.850802, -0.429254, -0.303111)","(-0.445351, 0.415596, 0.793059)","(0.174589, -0.729539, 0.66128)","(-0.313133, -0.808167, 0.498813)","(-0.012094, -0.984335, 0.175895)","(0.130259, -0.805197, -0.578524)","(0.586886, -0.588199, -0.556405)"
2.48572,"(-0.052286, 0.006057, 0.02657)","(0.037211, 0.997279, 0.063634)","(-0.691307, -0.72217, -0.023763)","(0.884662, -0.299855, -0.357017)","(-0.456702, 0.466445, 0.75753)","(0.210468, -0.754071, 0.622158)","(-0.304045, -0.816098, 0.491468)","(0.014053, -0.985166, 0.171027)","(0.151525, -0.804615, -0.574139)","(0.589554, -0.587833, -0.553966)"
2.524483,"(-0.06212, 0.011509, 0.025832)","(0.014063, 0.997816, 0.064536)","(-0.710415, -0.703761, -0.005554)","(0.896759, -0.213623, -0.387542)","(-0.475099, 0.489721, 0.731064)","(0.231724, -0.754526, 0.613999)","(-0.279378, -0.829115, 0.484269)","(0.046287, -0.98556, 0.162875)","(0.159777, -0.808345, -0.566613)","(0.581544, -0.601088, -0.548179)"
2.5641,"(-0.072622, 0.022161, 0.024611)","(-0.010302, 0.997839, 0.064894)","(-0.721633, -0.692217, 0.00905)","(0.897612, -0.166655, -0.408067)","(-0.50554, 0.49236, 0.708528)","(0.241518, -0.734714, 0.633928)","(-0.238086, -0.847095, 0.475126)","(0.085301, -0.984575, 0.152762)","(0.159113, -0.816651, -0.554765)","(0.563422, -0.627127, -0.537835)"
2.602724,"(-0.083502, 0.035832, 0.022912)","(-0.035023, 0.997297, 0.064594)","(-0.723573, -0.689946, 0.020441)","(0.892364, -0.16709, -0.419246)","(-0.549265, 0.473243, 0.68873)","(0.23894, -0.68949, 0.683748)","(-0.181895, -0.867111, 0.463716)","(0.122492, -0.982096, 0.143123)","(0.149368, -0.82826, -0.540069)","(0.532669, -0.6634, -0.525514)"
2.641882,"(-0.093913, 0.048209, 0.020714)","(-0.058505, 0.99625, 0.063747)","(-0.718208, -0.695214, 0.02924)","(0.881944, -0.221176, -0.416241)","(-0.607898, 0.423339, 0.671747)","(0.222989, -0.588968, 0.776783)","(-0.119879, -0.884691, 0.450502)","(0.15198, -0.978618, 0.138595)","(0.129757, -0.839922, -0.526967)","(0.489665, -0.701606, -0.517665)"
2.68119,"(-0.104267, 0.056572, 0.018128)","(-0.081238, 0.994714, 0.062799)","(-0.70631, -0.706985, 0.036034)","(0.86483, -0.328866, -0.379363)","(-0.676525, 0.336415, 0.655087)","(0.197423, -0.401057, 0.894527)","(-0.060161, -0.899443, 0.432877)","(0.172925, -0.974644, 0.142006)","(0.087953, -0.849014, -0.520998)","(0.435491, -0.736027, -0.518279)"
2.720869,"(-0.114168, 0.05925, 0.015093)","(-0.10255, 0.992747, 0.06274)","(-0.686858, -0.725584, 0.04187)","(0.837158, -0.463357, -0.290631)","(-0.743614, 0.214934, 0.63312)","(0.174041, -0.133067, 0.975706)","(-0.007663, -0.91274, 0.40847)","(0.187197, -0.969622, 0.157449)","(0.025323, -0.852784, -0.521649)","(0.374088, -0.761829, -0.528842)"
2.76034,"(-0.123515, 0.055535, 0.011617)","(-0.122195, 0.99046, 0.063696)","(-0.66171, -0.748321, 0.046436)","(0.803578, -0.572252, -0.163677)","(-0.794175, 0.068339, 0.603834)","(0.163284, 0.145115, 0.975848)","(0.035486, -0.925713, 0.376559)","(0.201451, -0.961104, 0.188933)","(-0.050919, -0.848282, -0.527092)","(0.313155, -0.774861, -0.549112)"
2.799189,"(-0.131989, 0.045589, 0.007832)","(-0.139613, 0.988032, 0.065587)","(-0.634353, -0.771385, 0.050614)","(0.768346, -0.637985, -0.051174)","(-0.819149, -0.079753, 0.56801)","(0.167186, 0.344419, 0.92381)","(0.068055, -0.937241, 0.341976)","(0.222486, -0.945909, 0.236128)","(-0.128493, -0.834172, -0.536327)","(0.262935, -0.772646, -0.577827)"
2.839342,"(-0.139441, 0.031562, 0.003824)","(-0.154462, 0.985648, 0.06812)","(-0.607308, -0.792605, 0.05436)","(0.738496, -0.673806, 0.024689)","(-0.820233, -0.208818, 0.532554)","(0.178015, 0.456406, 0.871782)","(0.091905, -0.946902, 0.308108)","(0.252575, -0.922704, 0.291245)","(-0.195693, -0.814972, -0.545458)","(0.229745, -0.758655, -0.60964)"
