time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r
1.205597,"(-0.571975, 0.019832, -0.004646)","(-0.125645, 0.968439, 0.215265)","(-0.4268, -0.455996, 0.780967)","(0.457411, -0.630956, 0.626633)","(-0.20522, 0.51869, 0.829967)","(0.479631, 0.420268, 0.770279)","(-0.254122, -0.823036, 0.507971)","(-0.040415, -0.831644, 0.553837)","(0.158789, -0.720485, -0.675046)","(0.090519, -0.704888, -0.703519)"
1.25943,"(-0.587256, 0.034701, -0.008027)","(-0.076117, 0.977973, 0.194357)","(-0.295093, -0.458521, 0.838259)","(0.345073, -0.468491, 0.81329)","(-0.216708, 0.39682, 0.891948)","(0.470885, 0.648499, 0.598094)","(-0.105751, -0.856822, 0.504652)","(-0.111511, -0.830443, 0.545829)","(0.024506, -0.724781, -0.688544)","(-0.003109, -0.747509, -0.664245)"
1.31131,"(-0.605365, 0.058251, -0.013516)","(-0.047851, 0.983124, 0.176574)","(-0.272254, -0.368012, 0.88907)","(0.251895, -0.281486, 0.925913)","(-0.223636, 0.442287, 0.868544)","(0.442298, 0.772131, 0.456274)","(0.019344, -0.885712, 0.463832)","(-0.103825, -0.846801, 0.521678)","(-0.076292, -0.752985, -0.653601)","(0.007136, -0.788467, -0.615035)"
1.365402,"(-0.618485, 0.090938, -0.021185)","(-0.03047, 0.985933, 0.164343)","(-0.340038, -0.20381, 0.918061)","(0.155944, -0.066563, 0.985521)","(-0.250126, 0.607579, 0.753847)","(0.366302, 0.860082, 0.35508)","(0.06954, -0.91421, 0.39923)","(-0.080154, -0.877725, 0.472413)","(-0.097667, -0.803496, -0.587244)","(0.017522, -0.838351, -0.54485)"
1.417496,"(-0.629222, 0.131735, -0.032179)","(-0.018717, 0.987669, 0.155434)","(-0.427594, -0.005613, 0.903953)","(0.071005, 0.111712, 0.991201)","(-0.213285, 0.801937, 0.558038)","(0.247777, 0.921647, 0.29862)","(0.070064, -0.947612, 0.311645)","(-0.054614, -0.919199, 0.389987)","(-0.069641, -0.870193, -0.487765)","(0.018183, -0.899437, -0.436672)"
1.471077,"(-0.639366, 0.164371, -0.042314)","(-0.008137, 0.989142, 0.146741)","(-0.456195, 0.150621, 0.87704)","(0.041285, 0.184357, 0.981992)","(-0.084607, 0.912014, 0.401339)","(0.136104, 0.944289, 0.299658)","(0.056582, -0.974432, 0.217443)","(-0.031401, -0.953586, 0.299481)","(-0.028929, -0.924678, -0.37965)","(0.019566, -0.947522, -0.319091)"
1.521614,"(-0.6473, 0.169581, -0.043823)","(-0.017926, 0.988995, 0.146858)","(-0.403864, 0.25765, 0.877787)","(0.098934, 0.156161, 0.982764)","(0.103872, 0.93458, 0.340251)","(0.065391, 0.924934, 0.374462)","(0.052034, -0.977036, 0.206622)","(-0.028657, -0.957124, 0.288259)","(-0.00375, -0.929652, -0.36842)","(0.037715, -0.951683, -0.304756)"
1.571533,"(-0.660264, 0.139425, -0.034502)","(-0.078404, 0.984801, 0.154986)","(-0.249116, 0.337676, 0.907699)","(0.290613, 0.01156, 0.956771)","(0.39799, 0.865938, 0.302913)","(0.067188, 0.804862, 0.589646)","(0.035958, -0.94656, 0.320518)","(-0.068657, -0.925536, 0.372383)","(0.045135, -0.869159, -0.492469)","(0.115267, -0.896643, -0.427487)"
1.619133,"(-0.677103, 0.101958, -0.023866)","(-0.140433, 0.979364, 0.145346)","(-0.02804, 0.32879, 0.943987)","(0.620865, -0.181168, 0.762696)","(0.721776, 0.642032, 0.258523)","(0.258775, 0.52535, 0.810582)","(0.002047, -0.910555, 0.413382)","(-0.126372, -0.894262, 0.429332)","(0.121536, -0.79527, -0.593949)","(0.222045, -0.823033, -0.522793)"
1.665993,"(-0.678058, 0.069129, -0.015869)","(-0.181736, 0.973937, 0.135716)","(0.126279, 0.227385, 0.965583)","(0.880138, -0.23895, 0.410196)","(0.904668, 0.349535, 0.243724)","(0.544786, 0.273287, 0.792794)","(-0.048528, -0.879465, 0.473483)","(-0.181654, -0.863407, 0.47067)","(0.174127, -0.731157, -0.659613)","(0.281588, -0.759866, -0.585929)"
1.713173,"(-0.653527, 0.04493, -0.010362)","(-0.200023, 0.969344, 0.142697)","(0.153846, 0.101635, 0.982854)","(0.97763, -0.169451, 0.124606)","(0.945888, 0.103611, 0.307508)","(0.706141, 0.188409, 0.682544)","(-0.114476, -0.853201, 0.508864)","(-0.219223, -0.825317, 0.520379)","(0.178463, -0.688665, -0.702775)","(0.251423, -0.725393, -0.640774)"
1.758667,"(-0.598038, 0.027863, -0.006369)","(-0.192985, 0.964965, 0.177763)","(0.054157, 0.002034, 0.99853)","(0.996375, -0.084493, -0.009937)","(0.880262, -0.065777, 0.469907)","(0.71355, 0.206343, 0.669529)","(-0.190005, -0.828331, 0.527034)","(-0.206928, -0.781661, 0.588376)","(0.120216, -0.666028, -0.736176)","(0.108379, -0.709148, -0.69668)"
1.803711,"(-0.508469, 0.01642, -0.003973)","(-0.134012, 0.957796, 0.254298)","(-0.226667, -0.080447, 0.970644)","(0.998849, -0.011131, -0.046649)","(0.613193, -0.197294, 0.764898)","(0.567585, 0.266465, 0.779002)","(-0.232897, -0.809388, 0.539119)","(-0.002863, -0.730824, 0.68256)","(-0.012803, -0.64172, -0.766832)","(-0.082327, -0.664132, -0.743069)"
1.849457,"(-0.389176, 0.008763, -0.002256)","(0.01017, 0.942254, 0.334746)","(-0.649622, -0.128154, 0.749378)","(0.998606, 0.049294, -0.018876)","(0.000795, -0.290634, 0.956834)","(0.251151, 0.318034, 0.914209)","(-0.238802, -0.830409, 0.503384)","(0.352868, -0.622651, 0.698419)","(-0.23408, -0.605426, -0.760701)","(-0.228274, -0.68649, -0.690378)"
1.895714,"(-0.251274, 0.003793, -0.000892)","(0.198021, 0.920541, 0.336737)","(-0.94497, -0.116054, 0.305882)","(0.994524, 0.09427, 0.045113)","(-0.663379, -0.286655, 0.6912)","(-0.157413, 0.322737, 0.933307)","(-0.29022, -0.880771, 0.374185)","(0.601888, -0.501458, 0.621507)","(-0.483164, -0.563268, -0.670285)","(-0.189252, -0.799309, -0.570341)"
1.941681,"(-0.116011, 0.00105, -0.00018)","(0.320761, 0.905344, 0.278324)","(-0.993832, -0.079664, -0.077147)","(0.986485, 0.122138, 0.109219)","(-0.941152, -0.223632, 0.25342)","(-0.467776, 0.28881, 0.835329)","(-0.430339, -0.88115, 0.195916)","(0.674982, -0.518266, 0.525167)","(-0.63679, -0.567245, -0.522237)","(-0.108764, -0.873474, -0.474567)"
1.987061,"(-0.013744, 0.000057, -0.000013)","(0.358218, 0.900636, 0.246037)","(-0.975097, -0.063851, -0.212388)","(0.981476, 0.130864, 0.139928)","(-0.979474, -0.19127, 0.063607)","(-0.580448, 0.266649, 0.769401)","(-0.535945, -0.839435, 0.090069)","(0.64604, -0.583888, 0.491637)","(-0.671027, -0.60705, -0.42569)","(-0.146669, -0.885562, -0.440758)"
2.032219,"(0.050495, 0.000536, -0.000123)","(0.34981, 0.904099, 0.245434)","(-0.972304, -0.108141, -0.207197)","(0.981453, 0.090182, 0.169165)","(-0.969532, -0.23131, 0.080646)","(-0.566567, 0.319286, 0.759643)","(-0.504345, -0.845814, 0.173883)","(0.587409, -0.626028, 0.512874)","(-0.619742, -0.597034, -0.509382)","(-0.238433, -0.855062, -0.460455)"
2.07711,"(0.090256, 0.002605, -0.000635)","(0.307952, 0.917963, 0.250018)","(-0.94835, -0.293706, -0.119873)","(0.961094, -0.056867, 0.270303)","(-0.895971, -0.371564, 0.243261)","(-0.454309, 0.505014, 0.73387)","(-0.386499, -0.860472, 0.331973)","(0.51731, -0.667411, 0.53568)","(-0.47298, -0.579355, -0.663806)","(-0.282554, -0.82421, -0.490755)"
2.123222,"(0.114486, 0.006638, -0.001512)","(0.24057, 0.938371, 0.248164)","(-0.834216, -0.533542, 0.139344)","(0.8544, -0.259567, 0.450139)","(-0.693268, -0.417675, 0.587305)","(-0.216921, 0.698694, 0.681742)","(-0.240111, -0.86649, 0.437654)","(0.432507, -0.707975, 0.558309)","(-0.301685, -0.581003, -0.755924)","(-0.27971, -0.799349, -0.531793)"
2.169128,"(0.130443, 0.01337, -0.00316)","(0.165276, 0.958401, 0.232704)","(-0.628922, -0.587338, 0.509403)","(0.64294, -0.402914, 0.651374)","(-0.440153, -0.136336, 0.887512)","(0.051298, 0.745111, 0.664964)","(-0.079433, -0.870409, 0.485879)","(0.323926, -0.746867, 0.580743)","(-0.164482, -0.602017, -0.781358)","(-0.230222, -0.7818, -0.579471)"
2.214432,"(0.14328, 0.023527, -0.005469)","(0.106073, 0.971959, 0.209868)","(-0.469721, -0.460168, 0.753398)","(0.437448, -0.429502, 0.790043)","(-0.295514, 0.237402, 0.925371)","(0.18866, 0.689037, 0.69974)","(0.044928, -0.869673, 0.491579)","(0.194185, -0.780784, 0.593859)","(-0.074886, -0.641155, -0.763749)","(-0.142477, -0.775635, -0.614891)"
2.262161,"(0.156601, 0.037947, -0.008775)","(0.070655, 0.979021, 0.191118)","(-0.388257, -0.325629, 0.862104)","(0.305913, -0.387003, 0.869854)","(-0.226155, 0.491736, 0.840863)","(0.204378, 0.653332, 0.728963)","(0.093268, -0.874258, 0.476418)","(0.063387, -0.808151, 0.585555)","(-0.033886, -0.682734, -0.729881)","(-0.046796, -0.784559, -0.618286)"
2.30822,"(0.16539, 0.059735, -0.01387)","(0.046598, 0.983318, 0.175823)","(-0.313196, -0.166162, 0.935039)","(0.213605, -0.293589, 0.931761)","(-0.147069, 0.724034, 0.673904)","(0.186735, 0.662455, 0.725454)","(0.085733, -0.890337, 0.447157)","(-0.035642, -0.835486, 0.548355)","(-0.042915, -0.728271, -0.683944)","(0.030458, -0.809731, -0.58601)"
2.353683,"(0.167188, 0.088729, -0.020642)","(0.031261, 0.985805, 0.164956)","(-0.235129, 0.001208, 0.971964)","(0.157453, -0.162688, 0.974034)","(-0.058586, 0.895274, 0.441647)","(0.153977, 0.710915, 0.686215)","(0.07442, -0.913565, 0.399827)","(-0.074669, -0.867796, 0.491279)","(-0.041336, -0.78259, -0.621164)","(0.064632, -0.847049, -0.527571)"
2.39901,"(0.164504, 0.122966, -0.029565)","(0.020947, 0.987348, 0.15718)","(-0.16329, 0.134598, 0.977353)","(0.119279, -0.02545, 0.992535)","(0.02324, 0.976161, 0.2158)","(0.102149, 0.774156, 0.624698)","(0.065665, -0.941165, 0.331508)","(-0.068471, -0.90548, 0.418829)","(-0.028044, -0.845234, -0.53366)","(0.064066, -0.892748, -0.445978)"
2.444565,"(0.160541, 0.15419, -0.039103)","(0.012237, 0.988588, 0.150145)","(-0.123, 0.204475, 0.971113)","(0.079531, 0.086081, 0.993109)","(0.091579, 0.993012, 0.074437)","(0.022496, 0.824711, 0.565107)","(0.057592, -0.966404, 0.250491)","(-0.042449, -0.940205, 0.337953)","(-0.011494, -0.902707, -0.430103)","(0.046417, -0.934915, -0.351823)"
2.490425,"(0.158675, 0.177281, -0.046021)","(-0.00079, 0.990166, 0.139898)","(-0.139453, 0.212708, 0.967113)","(0.028307, 0.154215, 0.987632)","(0.146888, 0.987983, 0.048104)","(-0.08584, 0.842715, 0.531472)","(0.049062, -0.984099, 0.17071)","(-0.02656, -0.966242, 0.256264)","(-0.001093, -0.944238, -0.329262)","(0.034106, -0.964397, -0.26225)"
2.535568,"(0.172842, 0.158895, -0.040612)","(0.039333, 0.987518, 0.152516)","(-0.243173, 0.145487, 0.95901)","(-0.052843, 0.205816, 0.977163)","(0.181151, 0.966245, 0.18318)","(-0.24847, 0.827531, 0.503444)","(0.05651, -0.974128, 0.218817)","(-0.024982, -0.946331, 0.322232)","(-0.045549, -0.912261, -0.40707)","(-0.003737, -0.940097, -0.340886)"
2.580368,"(0.200771, 0.12926, -0.031377)","(0.096859, 0.983415, 0.153338)","(-0.459295, -0.002546, 0.88828)","(-0.166676, 0.22464, 0.960081)","(0.114654, 0.85476, 0.506202)","(-0.475319, 0.751626, 0.457307)","(0.074155, -0.959735, 0.270942)","(-0.019823, -0.915085, 0.402773)","(-0.136684, -0.853697, -0.502514)","(-0.079759, -0.895512, -0.437832)"
2.626808,"(0.225988, 0.095325, -0.022151)","(0.149798, 0.978325, 0.142971)","(-0.730002, -0.156693, 0.66524)","(-0.268598, 0.18319, 0.945673)","(-0.162176, 0.585413, 0.794349)","(-0.692324, 0.583905, 0.423961)","(0.102096, -0.944705, 0.311624)","(0.000773, -0.879491, 0.475915)","(-0.232883, -0.780351, -0.580361)","(-0.164598, -0.837151, -0.521619)"
2.6717,"(0.233553, 0.064556, -0.014836)","(0.186141, 0.973088, 0.135835)","(-0.919701, -0.206587, 0.333875)","(-0.307106, 0.095327, 0.946889)","(-0.517523, 0.300912, 0.801013)","(-0.82141, 0.358449, 0.443621)","(0.137709, -0.923175, 0.358865)","(0.042887, -0.835454, 0.547885)","(-0.291332, -0.707157, -0.644248)","(-0.226731, -0.775653, -0.589029)"
2.717514,"(0.21327, 0.042474, -0.009873)","(0.200574, 0.968828, 0.145406)","(-0.983515, -0.155931, 0.091563)","(-0.261555, 0.000552, 0.965189)","(-0.703686, 0.190296, 0.684553)","(-0.834585, 0.157541, 0.527872)","(0.16929, -0.892589, 0.417883)","(0.102583, -0.794617, 0.598382)","(-0.268998, -0.661159, -0.700364)","(-0.235075, -0.736616, -0.634143)"
2.763199,"(0.159491, 0.026534, -0.006196)","(0.190657, 0.964478, 0.182843)","(-0.996984, -0.075252, -0.01896)","(-0.120143, -0.090329, 0.988639)","(-0.71391, 0.216395, 0.665962)","(-0.740363, -0.008448, 0.672154)","(0.166122, -0.855208, 0.49094)","(0.172748, -0.763152, 0.622701)","(-0.152447, -0.635014, -0.75731)","(-0.177513, -0.719762, -0.671142)"
2.807854,"(0.063227, 0.015676, -0.003211)","(0.13207, 0.956261, 0.261004)","(-0.998205, 0.039833, -0.044718)","(0.19974, -0.181405, 0.96291)","(-0.541458, 0.320223, 0.777355)","(-0.436664, -0.197588, 0.877658)","(0.010308, -0.806403, 0.591277)","(0.23568, -0.733838, 0.637131)","(-0.015001, -0.582853, -0.812439)","(-0.062095, -0.708465, -0.703009)"
2.852386,"(-0.067934, 0.008198, -0.002042)","(-0.003169, 0.939695, 0.341999)","(-0.985074, 0.171997, -0.006782)","(0.640268, -0.207143, 0.739695)","(-0.165233, 0.389908, 0.905908)","(0.132575, -0.340783, 0.930748)","(-0.265943, -0.717388, 0.643917)","(0.278162, -0.740189, 0.612165)","(0.088067, -0.588466, -0.803711)","(0.138717, -0.701097, -0.699444)"
2.898514,"(-0.212574, 0.003549, -0.000808)","(-0.179719, 0.918169, 0.353081)","(-0.955117, 0.287711, 0.070519)","(0.937538, -0.134945, 0.320643)","(0.289935, 0.336674, 0.895873)","(0.671653, -0.339778, 0.658357)","(-0.487195, -0.625295, 0.609629)","(0.32895, -0.795321, 0.509172)","(0.088298, -0.676667, -0.730975)","(0.395423, -0.667905, -0.630511)"
2.944763,"(-0.34624, 0.000924, -0.00018)","(-0.309512, 0.903333, 0.29697)","(-0.920584, 0.355894, 0.160824)","(0.99568, -0.056096, -0.073992)","(0.624491, 0.224385, 0.748106)","(0.91414, -0.282351, 0.290907)","(-0.58128, -0.625424, 0.520536)","(0.41751, -0.841131, 0.343778)","(0.062071, -0.769828, -0.635226)","(0.588205, -0.63357, -0.502597)"
2.98999,"(-0.442387, 0.000016, 0.000006)","(-0.359035, 0.900184, 0.246503)","(-0.903903, 0.353441, 0.240912)","(0.956952, -0.062765, -0.28338)","(0.76443, 0.201936, 0.612266)","(0.953155, -0.28589, 0.098802)","(-0.578784, -0.664183, 0.473149)","(0.493598, -0.842429, 0.216044)","(0.12658, -0.805246, -0.579272)","(0.663875, -0.631323, -0.400876)"
3.037041,"(-0.503801, 0.000615, -0.000146)","(-0.357615, 0.906079, 0.226126)","(-0.907445, 0.261263, 0.329068)","(0.91903, -0.174979, -0.353222)","(0.76403, 0.342498, 0.546767)","(0.922883, -0.366773, 0.117328)","(-0.539333, -0.69543, 0.474865)","(0.47422, -0.850519, 0.227447)","(0.237924, -0.783304, -0.574306)","(0.660017, -0.618841, -0.425926)"
3.081833,"(-0.543389, 0.002949, -0.000786)","(-0.3171, 0.921156, 0.225653)","(-0.883351, 0.046419, 0.466407)","(0.860802, -0.427433, -0.276264)","(0.5697, 0.624515, 0.53425)","(0.817895, -0.442246, 0.368056)","(-0.480699, -0.734519, 0.478968)","(0.347361, -0.868006, 0.354833)","(0.294731, -0.756075, -0.584367)","(0.569797, -0.600932, -0.560546)"
3.12661,"(-0.560774, 0.007202, -0.001678)","(-0.24756, 0.940949, 0.230929)","(-0.756453, -0.213469, 0.618232)","(0.737771, -0.674449, 0.028514)","(0.185734, 0.770607, 0.609646)","(0.643844, -0.253551, 0.721926)","(-0.410898, -0.7704, 0.48749)","(0.185358, -0.859314, 0.476679)","(0.288341, -0.736082, -0.612407)","(0.395774, -0.625144, -0.672724)"
3.171158,"(-0.567679, 0.013981, -0.003304)","(-0.168117, 0.959682, 0.225272)","(-0.547285, -0.401678, 0.734258)","(0.557095, -0.707705, 0.434511)","(-0.126193, 0.643741, 0.754767)","(0.510483, 0.185296, 0.839686)","(-0.322874, -0.803097, 0.500786)","(0.033663, -0.839439, 0.542411)","(0.223127, -0.724298, -0.652385)","(0.193606, -0.67533, -0.71165)"
3.216125,"(-0.575726, 0.024059, -0.005601)","(-0.105378, 0.972398, 0.208176)","(-0.371552, -0.469075, 0.801198)","(0.411992, -0.574889, 0.706941)","(-0.221753, 0.458105, 0.860794)","(0.473466, 0.520379, 0.710659)","(-0.207387, -0.834739, 0.5101)","(-0.073683, -0.829567, 0.553524)","(0.11461, -0.71983, -0.684623)","(0.045348, -0.72048, -0.691992)"
3.260971,"(-0.59117, 0.038595, -0.008927)","(-0.069628, 0.979215, 0.1905)","(-0.282179, -0.44775, 0.848467)","(0.327959, -0.436547, 0.837777)","(-0.215155, 0.393575, 0.89376)","(0.468831, 0.676032, 0.568487)","(-0.076167, -0.862898, 0.499606)","(-0.115335, -0.832174, 0.542388)","(-0.000443, -0.728266, -0.685294)","(-0.007567, -0.755248, -0.655396)"
