time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r
0.338863,"(-0.142351, -0.072373, -0.001748)","(-0.133306, 0.97252, 0.190877)","(-0.268273, -0.312062, -0.911398)","(-0.371422, -0.47213, 0.799462)","(-0.904158, -0.27188, 0.329514)","(-0.779385, 0.558158, 0.284639)","(0.015978, -0.964252, 0.264505)","(0.196329, -0.744523, 0.638075)","(0.08686, -0.902043, -0.422816)","(-0.157607, -0.841629, -0.516547)"
0.370512,"(-0.151349, -0.088866, 0.001906)","(-0.112631, 0.979237, 0.168549)","(-0.315902, -0.272608, -0.908785)","(-0.502397, -0.36992, 0.781509)","(-0.924991, -0.173904, 0.337861)","(-0.803817, 0.568526, 0.175091)","(-0.04721, -0.954744, 0.293659)","(0.287054, -0.71002, 0.643017)","(0.146535, -0.870973, -0.46897)","(-0.274286, -0.824311, -0.495257)"
0.404964,"(-0.15801, -0.106695, 0.005903)","(-0.091771, 0.985642, 0.14173)","(-0.371207, -0.244306, -0.895835)","(-0.61586, -0.26753, 0.741042)","(-0.928779, -0.08737, 0.360188)","(-0.817569, 0.568646, 0.090674)","(-0.128836, -0.944736, 0.301454)","(0.375051, -0.678637, 0.631497)","(0.226269, -0.836187, -0.499594)","(-0.383255, -0.802475, -0.457329)"
0.439008,"(-0.162947, -0.123226, 0.009896)","(-0.069527, 0.991774, 0.107477)","(-0.427877, -0.230037, -0.874073)","(-0.710832, -0.170689, 0.682336)","(-0.921613, -0.005351, 0.388073)","(-0.830317, 0.556556, 0.028622)","(-0.215037, -0.934682, 0.283069)","(0.450198, -0.65088, 0.611292)","(0.3102, -0.803961, -0.507369)","(-0.472988, -0.781533, -0.406804)"
0.471505,"(-0.166142, -0.135411, 0.0129)","(-0.045807, 0.996915, 0.063741)","(-0.483992, -0.23712, -0.842334)","(-0.783869, -0.096921, 0.613315)","(-0.904504, 0.067484, 0.421092)","(-0.846803, 0.531568, -0.018974)","(-0.284913, -0.925339, 0.250144)","(0.502539, -0.629056, 0.593079)","(0.374634, -0.781316, -0.499194)","(-0.536618, -0.766938, -0.35192)"
0.504367,"(-0.167483, -0.140986, 0.014203)","(-0.021919, 0.999652, 0.014679)","(-0.530591, -0.272486, -0.802636)","(-0.834126, -0.059071, 0.548402)","(-0.881435, 0.117602, 0.45743)","(-0.864291, 0.499505, -0.059132)","(-0.325985, -0.91842, 0.224139)","(0.528593, -0.614541, 0.585602)","(0.40265, -0.772022, -0.491788)","(-0.576006, -0.762388, -0.294926)"
0.539175,"(-0.167123, -0.139924, 0.013984)","(0.001948, 0.999627, -0.027247)","(-0.566132, -0.329716, -0.755502)","(-0.867538, -0.058449, 0.493924)","(-0.855025, 0.142647, 0.498582)","(-0.880225, 0.464041, -0.099351)","(-0.332705, -0.916541, 0.221948)","(0.52368, -0.628387, 0.575229)","(0.407808, -0.777041, -0.479478)","(-0.570201, -0.754864, -0.324117)"
0.570519,"(-0.165062, -0.13205, 0.012099)","(0.026209, 0.998505, -0.04796)","(-0.589183, -0.405106, -0.699108)","(-0.888209, -0.094241, 0.449671)","(-0.826925, 0.136534, 0.545485)","(-0.892472, 0.428107, -0.142195)","(-0.310257, -0.920281, 0.238378)","(0.494347, -0.659558, 0.56622)","(0.385314, -0.794489, -0.469384)","(-0.525691, -0.753818, -0.394218)"
0.604118,"(-0.161453, -0.118612, 0.008797)","(0.048997, 0.997855, -0.043422)","(-0.597837, -0.486515, -0.637099)","(-0.89791, -0.161747, 0.409384)","(-0.799387, 0.095126, 0.593238)","(-0.899037, 0.397153, -0.184398)","(-0.264941, -0.928342, 0.260743)","(0.445856, -0.695352, 0.563647)","(0.333999, -0.82096, -0.463108)","(-0.45219, -0.764021, -0.460213)"
0.639478,"(-0.156136, -0.10118, 0.004738)","(0.07139, 0.997363, -0.013052)","(-0.595948, -0.567055, -0.568591)","(-0.887797, -0.256471, 0.382151)","(-0.766665, 0.022466, 0.641655)","(-0.903465, 0.371237, -0.214323)","(-0.201431, -0.939188, 0.278123)","(0.378171, -0.736506, 0.560844)","(0.260369, -0.854299, -0.449867)","(-0.345404, -0.781705, -0.519262)"
0.671727,"(-0.149349, -0.083843, 0.000961)","(0.09208, 0.995183, 0.033637)","(-0.588731, -0.633419, -0.502172)","(-0.844058, -0.363948, 0.393837)","(-0.722024, -0.06809, 0.68851)","(-0.911957, 0.349649, -0.214663)","(-0.137984, -0.949925, 0.280364)","(0.304285, -0.778637, 0.548757)","(0.184249, -0.887066, -0.42328)","(-0.217432, -0.800394, -0.558652)"
0.705736,"(-0.140841, -0.069371, -0.002305)","(0.111609, 0.990313, 0.082611)","(-0.584695, -0.682285, -0.438883)","(-0.759588, -0.473636, 0.445753)","(-0.654713, -0.164275, 0.737811)","(-0.926861, 0.328056, -0.182505)","(-0.086843, -0.958506, 0.271523)","(0.23523, -0.819783, 0.522132)","(0.118276, -0.914199, -0.387623)","(-0.086143, -0.81564, -0.572111)"
0.737322,"(-0.130315, -0.060297, -0.005035)","(0.130097, 0.983512, 0.125616)","(-0.591172, -0.712372, -0.378208)","(-0.629757, -0.571574, 0.526032)","(-0.556853, -0.250425, 0.791961)","(-0.946293, 0.299938, -0.120698)","(-0.054748, -0.962416, 0.266003)","(0.182741, -0.854686, 0.48592)","(0.068163, -0.931594, -0.357053)","(0.035311, -0.827642, -0.560144)"
0.772247,"(-0.118799, -0.058274, -0.007094)","(0.145782, 0.976604, 0.158087)","(-0.605929, -0.727023, -0.322935)","(-0.471264, -0.644192, 0.602435)","(-0.442773, -0.302197, 0.844173)","(-0.96288, 0.266652, -0.041949)","(-0.039308, -0.960084, 0.276937)","(0.150876, -0.876763, 0.456643)","(0.03778, -0.936925, -0.347483)","(0.120859, -0.832183, -0.541169)"
0.804287,"(-0.105409, -0.06318, -0.00877)","(0.160009, 0.969703, 0.184589)","(-0.622945, -0.735748, -0.265732)","(-0.280038, -0.700012, 0.656934)","(-0.31359, -0.310424, 0.897384)","(-0.971676, 0.230632, 0.051529)","(-0.025553, -0.950553, 0.309509)","(0.121122, -0.886388, 0.446817)","(0.013002, -0.931492, -0.36353)","(0.18153, -0.827907, -0.530676)"
0.837894,"(-0.091455, -0.074207, -0.009995)","(0.171517, 0.963758, 0.204333)","(-0.635498, -0.742871, -0.210438)","(-0.088334, -0.741881, 0.664687)","(-0.188494, -0.268495, 0.944659)","(-0.968784, 0.203841, 0.141092)","(-0.008832, -0.934978, 0.354595)","(0.088528, -0.887334, 0.452549)","(-0.016432, -0.916393, -0.399943)","(0.22425, -0.81563, -0.533348)"
0.871732,"(-0.075272, -0.091612, -0.010841)","(0.181759, 0.958195, 0.220966)","(-0.64079, -0.753926, -0.144859)","(0.124003, -0.768117, 0.628188)","(-0.056056, -0.169475, 0.983939)","(-0.953356, 0.182541, 0.240398)","(0.012052, -0.91228, 0.409391)","(0.049345, -0.882577, 0.467571)","(-0.062849, -0.891589, -0.448463)","(0.262913, -0.795818, -0.545482)"
0.904118,"(-0.059324, -0.109939, -0.011772)","(0.189201, 0.953934, 0.232835)","(-0.635632, -0.76962, -0.060478)","(0.295188, -0.78757, 0.540924)","(0.063806, -0.034994, 0.997349)","(-0.920631, 0.16999, 0.351484)","(0.03062, -0.888902, 0.457074)","(0.011628, -0.874529, 0.484835)","(-0.115279, -0.865015, -0.488324)","(0.293548, -0.776275, -0.557877)"
0.93797,"(-0.041272, -0.128056, -0.012206)","(0.195118, 0.950297, 0.242621)","(-0.609158, -0.7906, 0.062273)","(0.436994, -0.809308, 0.392501)","(0.180595, 0.139047, 0.973679)","(-0.851786, 0.163036, 0.497875)","(0.045021, -0.866918, 0.496414)","(-0.027333, -0.865947, 0.499389)","(-0.172939, -0.836723, -0.519603)","(0.318227, -0.759823, -0.566922)"
0.971714,"(-0.023265, -0.140443, -0.012463)","(0.198719, 0.947765, 0.249506)","(-0.553822, -0.81334, 0.178211)","(0.502897, -0.842701, 0.192223)","(0.267874, 0.31404, 0.910836)","(-0.738106, 0.155666, 0.656481)","(0.047658, -0.85281, 0.520043)","(-0.060933, -0.86017, 0.506354)","(-0.221876, -0.814442, -0.536148)","(0.32938, -0.753788, -0.568606)"
1.007584,"(-0.005758, -0.146129, -0.012602)","(0.200262, 0.946214, 0.254113)","(-0.471857, -0.831215, 0.293996)","(0.507662, -0.86148, -0.011471)","(0.322429, 0.464106, 0.825012)","(-0.587579, 0.124982, 0.799457)","(0.037322, -0.84744, 0.529577)","(-0.091535, -0.856086, 0.508664)","(-0.259563, -0.799047, -0.542358)","(0.322152, -0.756242, -0.569488)"
1.037069,"(0.012921, -0.145105, -0.012577)","(0.199886, 0.945468, 0.25717)","(-0.361962, -0.833858, 0.41673)","(0.468645, -0.853889, -0.226375)","(0.359541, 0.578787, 0.73194)","(-0.399196, 0.042255, 0.915891)","(0.014924, -0.8485, 0.528985)","(-0.120117, -0.855436, 0.503787)","(-0.284294, -0.790457, -0.542546)","(0.299983, -0.768374, -0.565343)"
1.070896,"(0.031165, -0.137107, -0.0124)","(0.197477, 0.945592, 0.258569)","(-0.259748, -0.817837, 0.513491)","(0.418661, -0.806761, -0.416965)","(0.406844, 0.628958, 0.662487)","(-0.200726, -0.100455, 0.974483)","(-0.008982, -0.85024, 0.526318)","(-0.140455, -0.861567, 0.487826)","(-0.27072, -0.789805, -0.550381)","(0.270813, -0.790289, -0.549639)"
1.105501,"(0.048725, -0.12299, -0.012057)","(0.193091, 0.946501, 0.258557)","(-0.166889, -0.797097, 0.580332)","(0.369788, -0.737617, -0.564958)","(0.465034, 0.63178, 0.620159)","(-0.002046, -0.279809, 0.960054)","(-0.036105, -0.853313, 0.520148)","(-0.150066, -0.874769, 0.460716)","(-0.225013, -0.798406, -0.558496)","(0.23911, -0.819161, -0.521347)"
1.137452,"(0.065405, -0.105187, -0.011555)","(0.186801, 0.948139, 0.257174)","(-0.084747, -0.774963, 0.626299)","(0.326997, -0.671294, -0.66516)","(0.53202, 0.605809, 0.591565)","(0.187282, -0.444055, 0.876208)","(-0.068462, -0.858169, 0.508781)","(-0.150246, -0.892825, 0.424605)","(-0.163435, -0.814527, -0.556628)","(0.203942, -0.851325, -0.483378)"
1.171409,"(0.081897, -0.086074, -0.010666)","(0.178148, 0.95063, 0.254098)","(-0.002807, -0.745961, 0.665984)","(0.291236, -0.611598, -0.735615)","(0.601463, 0.572875, 0.556827)","(0.370411, -0.554012, 0.745564)","(-0.104578, -0.862573, 0.495006)","(-0.144213, -0.913387, 0.380692)","(-0.092684, -0.833851, -0.544153)","(0.164127, -0.883949, -0.437832)"
1.204441,"(0.097138, -0.070613, -0.009738)","(0.16754, 0.953855, 0.24918)","(0.07738, -0.707558, 0.702406)","(0.266116, -0.554824, -0.78826)","(0.662418, 0.550265, 0.508341)","(0.530809, -0.587838, 0.610482)","(-0.137509, -0.861635, 0.488545)","(-0.135766, -0.930789, 0.33941)","(-0.018656, -0.850904, -0.52499)","(0.125152, -0.910099, -0.39504)"
1.236995,"(0.111197, -0.060927, -0.008292)","(0.15479, 0.957847, 0.242013)","(0.161383, -0.66056, 0.733223)","(0.250833, -0.494249, -0.832347)","(0.711473, 0.542588, 0.446547)","(0.669257, -0.556815, 0.491988)","(-0.165106, -0.855003, 0.49164)","(-0.128969, -0.94259, 0.308045)","(0.064278, -0.860838, -0.504803)","(0.089998, -0.927007, -0.364085)"
1.271033,"(0.123589, -0.058185, -0.006577)","(0.140438, 0.962401, 0.23251)","(0.240713, -0.600951, 0.762178)","(0.247794, -0.434489, -0.86592)","(0.748055, 0.547901, 0.374456)","(0.777249, -0.482722, 0.403565)","(-0.192299, -0.842552, 0.503117)","(-0.1241, -0.947254, 0.295481)","(0.135691, -0.859764, -0.492334)","(0.067507, -0.933073, -0.353295)"
1.304008,"(0.134556, -0.062015, -0.004385)","(0.124243, 0.967552, 0.220016)","(0.32489, -0.534753, 0.780055)","(0.259786, -0.378607, -0.888352)","(0.771371, 0.561331, 0.299825)","(0.854588, -0.387534, 0.345684)","(-0.230466, -0.82022, 0.523569)","(-0.115818, -0.945172, 0.305348)","(0.19743, -0.851517, -0.485737)","(0.055542, -0.928708, -0.36663)"
1.339035,"(0.144165, -0.072434, -0.001587)","(0.106034, 0.973293, 0.203614)","(0.411722, -0.456723, 0.788599)","(0.287261, -0.328694, -0.89969)","(0.785535, 0.576888, 0.22391)","(0.902587, -0.287436, 0.320495)","(-0.282217, -0.788091, 0.547052)","(-0.098866, -0.937009, 0.335022)","(0.26607, -0.837653, -0.477017)","(0.042523, -0.913056, -0.40561)"
1.372217,"(0.152204, -0.088215, 0.001884)","(0.086077, 0.979443, 0.182433)","(0.500057, -0.367686, 0.78406)","(0.328728, -0.289079, -0.899095)","(0.792498, 0.59059, 0.152156)","(0.925012, -0.194822, 0.326186)","(-0.343613, -0.749419, 0.565952)","(-0.065301, -0.924968, 0.374393)","(0.342034, -0.819031, -0.460653)","(0.017771, -0.88705, -0.461331)"
1.40416,"(0.158552, -0.106399, 0.005921)","(0.064712, 0.985728, 0.155414)","(0.583657, -0.276292, 0.763549)","(0.380717, -0.257774, -0.888036)","(0.795879, 0.600125, 0.08017)","(0.931464, -0.10463, 0.348464)","(-0.407368, -0.708174, 0.576664)","(-0.010767, -0.912275, 0.409436)","(0.415486, -0.799505, -0.433777)","(-0.027261, -0.854779, -0.518276)"
1.438773,"(0.163262, -0.123341, 0.009978)","(0.041854, 0.991825, 0.120546)","(0.659087, -0.195079, 0.726326)","(0.437927, -0.240357, -0.866284)","(0.797882, 0.602801, 0.00405)","(0.926178, -0.017556, 0.376679)","(-0.464936, -0.668551, 0.580409)","(0.058086, -0.902118, 0.427562)","(0.477289, -0.784012, -0.396888)","(-0.087851, -0.822262, -0.562288)"
1.470421,"(0.166164, -0.135082, 0.012854)","(0.019037, 0.996713, 0.078745)","(0.720699, -0.140191, 0.678925)","(0.491835, -0.246496, -0.835068)","(0.802407, 0.592712, -0.069544)","(0.912303, 0.052493, 0.406139)","(-0.50629, -0.636691, 0.581631)","(0.120893, -0.896023, 0.427233)","(0.518018, -0.776631, -0.358471)","(-0.141345, -0.798031, -0.585806)"
1.505162,"(0.167481, -0.14089, 0.014189)","(-0.00473, 0.999541, 0.029938)","(0.773164, -0.112845, 0.624087)","(0.543882, -0.274557, -0.792976)","(0.810235, 0.569722, -0.13761)","(0.891462, 0.106869, 0.440313)","(-0.532441, -0.610606, 0.586231)","(0.167034, -0.893809, 0.41618)","(0.542006, -0.779761, -0.313372)","(-0.171783, -0.783966, -0.596563)"
1.53951,"(0.167108, -0.140071, 0.014005)","(-0.028811, 0.999495, -0.013404)","(0.816653, -0.114908, 0.565574)","(0.588043, -0.324223, -0.741003)","(0.823778, 0.533663, -0.191292)","(0.867825, 0.136058, 0.477879)","(-0.527277, -0.619903, 0.58112)","(0.186749, -0.892118, 0.411401)","(0.531893, -0.774589, -0.342202)","(-0.191547, -0.787468, -0.585836)"
1.572086,"(0.164843, -0.132234, 0.012099)","(-0.053373, 0.99793, -0.035866)","(0.850784, -0.142373, 0.505862)","(0.620669, -0.394952, -0.677335)","(0.845834, 0.485225, -0.221633)","(0.845119, 0.130532, 0.518398)","(-0.49489, -0.655469, 0.570477)","(0.183753, -0.893618, 0.409489)","(0.489781, -0.76856, -0.41162)","(-0.193897, -0.805936, -0.559349)"
1.604282,"(0.160748, -0.118651, 0.008747)","(-0.076417, 0.996535, -0.032836)","(0.877634, -0.194146, 0.438254)","(0.641752, -0.469661, -0.606279)","(0.875408, 0.427967, -0.224734)","(0.82473, 0.090691, 0.558207)","(-0.447038, -0.696176, 0.56169)","(0.16357, -0.90042, 0.403098)","(0.42175, -0.773226, -0.473548)","(-0.171587, -0.832915, -0.526128)"
1.637311,"(0.154729, -0.101174, 0.004633)","(-0.098793, 0.995095, -0.005082)","(0.887417, -0.255396, 0.383749)","(0.653572, -0.543288, -0.526955)","(0.910601, 0.360831, -0.201509)","(0.80351, 0.021845, 0.594891)","(-0.38573, -0.740502, 0.550336)","(0.131622, -0.911382, 0.389947)","(0.32598, -0.786675, -0.52429)","(-0.132578, -0.865067, -0.48382)"
1.670712,"(0.146841, -0.083418, 0.000734)","(-0.119867, 0.992012, 0.039304)","(0.872297, -0.32378, 0.36642)","(0.659846, -0.604415, -0.446415)","(0.944099, 0.290621, -0.155619)","(0.775395, -0.065055, 0.628116)","(-0.319466, -0.783696, 0.532693)","(0.098609, -0.923822, 0.369905)","(0.216464, -0.804645, -0.552892)","(-0.089276, -0.895887, -0.435221)"
1.705896,"(0.137156, -0.069013, -0.002541)","(-0.139296, 0.98661, 0.084834)","(0.83247, -0.391864, 0.39171)","(0.667878, -0.646011, -0.369607)","(0.970044, 0.225644, -0.089996)","(0.734111, -0.154798, 0.661149)","(-0.258819, -0.822223, 0.506914)","(0.072895, -0.934118, 0.349442)","(0.104623, -0.82134, -0.560762)","(-0.050532, -0.919723, -0.389302)"
1.73742,"(0.125987, -0.060438, -0.005153)","(-0.15665, 0.980004, 0.122689)","(0.770386, -0.45384, 0.447811)","(0.681673, -0.667625, -0.299332)","(0.984779, 0.173226, -0.014289)","(0.680168, -0.230196, 0.695976)","(-0.212385, -0.855406, 0.472412)","(0.057995, -0.939173, 0.338513)","(-0.000192, -0.831091, -0.556137)","(-0.01934, -0.933372, -0.35839)"
1.772074,"(0.112882, -0.05825, -0.007167)","(-0.172688, 0.972878, 0.153905)","(0.679125, -0.516593, 0.521461)","(0.701125, -0.674194, -0.232134)","(0.988244, 0.139406, 0.062772)","(0.61542, -0.281576, 0.736189)","(-0.175946, -0.881052, 0.439079)","(0.050762, -0.937352, 0.344667)","(-0.080228, -0.832143, -0.548727)","(0.005303, -0.937936, -0.346769)"
1.804083,"(0.09813, -0.063337, -0.009057)","(-0.186937, 0.965962, 0.178809)","(0.552568, -0.585711, 0.592969)","(0.722796, -0.669923, -0.169612)","(0.982807, 0.135806, 0.125091)","(0.546554, -0.295829, 0.783431)","(-0.137521, -0.89317, 0.428178)","(0.041541, -0.926934, 0.372917)","(-0.131071, -0.825562, -0.548879)","(0.030396, -0.933898, -0.356245)"
1.837567,"(0.082804, -0.074926, -0.010061)","(-0.198684, 0.959919, 0.197686)","(0.395341, -0.658754, 0.640116)","(0.743509, -0.658778, -0.114919)","(0.972549, 0.164908, 0.164177)","(0.480394, -0.268499, 0.834943)","(-0.094677, -0.897031, 0.431707)","(0.025052, -0.909742, 0.414419)","(-0.172924, -0.810646, -0.55942)","(0.063296, -0.920471, -0.385651)"
1.871521,"(0.0672, -0.091298, -0.011262)","(-0.2081, 0.954851, 0.212022)","(0.215456, -0.731498, 0.646908)","(0.762506, -0.643682, -0.065254)","(0.956821, 0.216671, 0.193769)","(0.416484, -0.206822, 0.885306)","(-0.050013, -0.895114, 0.443023)","(0.003173, -0.887805, 0.460208)","(-0.211833, -0.790289, -0.574952)","(0.105672, -0.89949, -0.42397)"
1.904433,"(0.050878, -0.110124, -0.01189)","(-0.215726, 0.950553, 0.223408)","(0.0176, -0.79969, 0.600156)","(0.774158, -0.632964, -0.006093)","(0.927902, 0.275433, 0.251266)","(0.341892, -0.107865, 0.933528)","(-0.005021, -0.890099, 0.455741)","(-0.021984, -0.864798, 0.501638)","(-0.248519, -0.768127, -0.590101)","(0.1535, -0.872992, -0.46295)"
1.937626,"(0.034403, -0.127463, -0.012378)","(-0.22135, 0.947175, 0.232086)","(-0.177127, -0.860895, 0.476955)","(0.767512, -0.637496, 0.067265)","(0.874803, 0.32384, 0.360343)","(0.259405, 0.024345, 0.965462)","(0.034961, -0.88458, 0.465076)","(-0.042655, -0.845148, 0.532828)","(-0.277764, -0.750723, -0.599385)","(0.196992, -0.846376, -0.494816)"
1.971607,"(0.017655, -0.140305, -0.012685)","(-0.225051, 0.944675, 0.238624)","(-0.35213, -0.898776, 0.261164)","(0.730151, -0.669579, 0.136173)","(0.778011, 0.327956, 0.535858)","(0.178647, 0.190394, 0.965316)","(0.067992, -0.880975, 0.468252)","(-0.051554, -0.831768, 0.552724)","(-0.293952, -0.742851, -0.601469)","(0.231931, -0.824136, -0.516728)"
2.004223,"(0.001871, -0.145651, -0.012844)","(-0.226503, 0.94322, 0.242967)","(-0.469203, -0.883081, -0.004094)","(0.656826, -0.720638, 0.22195)","(0.620299, 0.241345, 0.746312)","(0.111668, 0.357308, 0.927287)","(0.094608, -0.878489, 0.468302)","(-0.042928, -0.826514, 0.561277)","(-0.287678, -0.744946, -0.601911)","(0.259691, -0.809862, -0.526007)"
2.038349,"(-0.013556, -0.144874, -0.01281)","(-0.226192, 0.942598, 0.245656)","(-0.510169, -0.818583, -0.263912)","(0.555755, -0.765978, 0.323132)","(0.392726, 0.0828, 0.915921)","(0.05667, 0.49425, 0.867471)","(0.115313, -0.878386, 0.463834)","(-0.024257, -0.826436, 0.562508)","(-0.266489, -0.75577, -0.59816)","(0.281492, -0.801989, -0.526855)"
2.071143,"(-0.029442, -0.137191, -0.012617)","(-0.223903, 0.942821, 0.246891)","(-0.480458, -0.743307, -0.465462)","(0.446134, -0.793052, 0.414769)","(0.127973, -0.109588, 0.985705)","(-0.010231, 0.575075, 0.818037)","(0.126153, -0.884358, 0.44944)","(-0.010418, -0.825455, 0.564372)","(-0.233426, -0.777366, -0.584136)","(0.283675, -0.797432, -0.53257)"
2.105404,"(-0.045482, -0.123059, -0.012277)","(-0.219568, 0.943875, 0.246758)","(-0.42445, -0.685705, -0.591312)","(0.347763, -0.80379, 0.482683)","(-0.115468, -0.305079, 0.945301)","(-0.107615, 0.598684, 0.793723)","(0.125176, -0.897315, 0.423269)","(-0.001266, -0.825833, 0.563914)","(-0.190786, -0.807293, -0.558461)","(0.266006, -0.799444, -0.538638)"
2.139056,"(-0.062136, -0.104256, -0.011837)","(-0.212965, 0.945807, 0.245142)","(-0.372904, -0.646579, -0.665491)","(0.258319, -0.8018, 0.538877)","(-0.316787, -0.473329, 0.821953)","(-0.236076, 0.585282, 0.775702)","(0.11465, -0.915996, 0.384457)","(0.008832, -0.828283, 0.560241)","(-0.138844, -0.842862, -0.51991)","(0.237011, -0.809588, -0.537023)"
2.171321,"(-0.077558, -0.086023, -0.010988)","(-0.204723, 0.948424, 0.242033)","(-0.336184, -0.612682, -0.715263)","(0.174661, -0.785917, 0.593151)","(-0.462203, -0.56785, 0.681113)","(-0.364886, 0.562365, 0.742027)","(0.100973, -0.93537, 0.33895)","(0.01941, -0.829738, 0.557815)","(-0.087372, -0.875607, -0.475057)","(0.195691, -0.822672, -0.533775)"
2.205441,"(-0.092696, -0.0707, -0.009897)","(-0.194343, 0.951862, 0.237043)","(-0.305109, -0.565004, -0.766603)","(0.08375, -0.752879, 0.652809)","(-0.582781, -0.594924, 0.553563)","(-0.48915, 0.544206, 0.681595)","(0.087871, -0.95264, 0.291128)","(0.032782, -0.824982, 0.564207)","(-0.037746, -0.902936, -0.428115)","(0.140449, -0.836611, -0.529486)"
2.237439,"(-0.107506, -0.060856, -0.008468)","(-0.181461, 0.956223, 0.229584)","(-0.274423, -0.497886, -0.82268)","(-0.021949, -0.701682, 0.712152)","(-0.693802, -0.559148, 0.453864)","(-0.598792, 0.536216, 0.594912)","(0.079048, -0.965024, 0.249959)","(0.053136, -0.810663, 0.583097)","(0.007357, -0.92128, -0.388829)","(0.072953, -0.848437, -0.524244)"
