time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r
0.796318,"(-0.000015, -0.161343, 0.005442)","(0.057311, 0.97997, -0.190722)","(-0.202939, 0.079272, -0.975977)","(0.612734, -0.670856, 0.417743)","(-0.416878, -0.770597, -0.482072)","(0.027448, 0.34006, 0.940003)","(0.122798, -0.389518, 0.912796)","(-0.125156, -0.90794, -0.399976)","(-0.003588, -0.99838, 0.056787)","(-0.052698, -0.547226, -0.835324)"
0.8256,"(0.000041, -0.007766, 0.036733)","(0.04674, 0.996408, -0.070618)","(-0.298574, -0.253016, -0.920237)","(0.558703, -0.789825, -0.253038)","(-0.325218, -0.888745, -0.323058)","(0.22597, -0.114766, 0.96735)","(0.10504, -0.925673, 0.363449)","(-0.105991, -0.98264, 0.152263)","(0.060102, -0.87981, -0.471511)","(-0.005814, -0.256712, -0.966471)"
0.911259,"(-0.000003, 0.018947, 0.034457)","(0.036881, 0.998318, 0.044727)","(-0.343822, -0.400858, -0.849176)","(0.47897, -0.714887, -0.509436)","(-0.293552, -0.934351, -0.202031)","(0.302017, -0.330972, 0.894004)","(0.100843, -0.979432, 0.17477)","(-0.08596, -0.929685, 0.358185)","(0.075525, -0.91382, -0.399035)","(0.004496, -0.184341, -0.982852)"
0.993851,"(0.000011, 0.002479, 0.002936)","(0.007143, 0.927831, 0.372933)","(-0.50757, -0.717896, -0.476443)","(0.274683, -0.394156, -0.877035)","(-0.263588, -0.931823, 0.249456)","(0.33291, -0.735899, 0.589596)","(0.095584, -0.966478, 0.238295)","(-0.04324, -0.553281, 0.831871)","(0.091342, -0.918316, -0.385165)","(0.017057, -0.233042, -0.972317)"
1.058304,"(-0.000034, 0.02673, -0.009921)","(-0.0014, 0.900987, 0.433843)","(-0.624214, -0.77949, -0.052464)","(0.233584, -0.169482, -0.957452)","(-0.204224, -0.64748, 0.734209)","(0.234944, -0.943515, 0.233624)","(0.093668, -0.976301, 0.195097)","(-0.061178, -0.201441, 0.977588)","(0.090927, -0.93778, -0.335112)","(0.015829, -0.825524, -0.564145)"
1.122402,"(0.000014, 0.012221, -0.012057)","(-0.016484, 0.961842, 0.273108)","(-0.679847, -0.701046, 0.215275)","(0.274826, 0.017219, -0.96134)","(-0.067785, -0.17893, 0.981524)","(0.198279, -0.952776, -0.230006)","(0.097401, -0.995239, 0.003399)","(-0.1156, -0.34203, 0.932551)","(0.083943, -0.833284, -0.546435)","(0.035784, -0.996156, 0.079957)"
1.190014,"(0.000018, -0.110713, -0.007529)","(-0.040728, 0.99917, 0.000146)","(-0.70235, -0.615889, 0.356911)","(0.321225, 0.123434, -0.938924)","(0.058739, 0.191708, 0.979693)","(0.219893, -0.798048, -0.561041)","(0.107087, -0.912008, -0.395947)","(-0.12742, -0.454878, 0.881391)","(0.071956, -0.63863, -0.766142)","(0.005795, -0.991289, 0.131581)"
1.252598,"(0.000021, -0.165283, 0.005616)","(-0.056648, 0.980033, -0.190595)","(-0.704115, -0.604159, 0.373115)","(0.342502, 0.145663, -0.928157)","(0.086365, 0.255504, 0.962943)","(0.256049, -0.69551, -0.671346)","(0.114893, -0.903197, -0.413565)","(-0.142013, -0.387408, 0.910905)","(0.067054, -0.532188, -0.843967)","(0.015071, -0.996885, 0.077423)"
1.335476,"(0.000004, -0.080279, 0.028874)","(-0.056923, 0.981495, -0.18283)","(-0.660835, -0.726847, 0.187058)","(0.38935, 0.075982, -0.917951)","(0.04738, 0.013696, 0.998783)","(0.251224, -0.699143, -0.669392)","(0.100055, -0.989387, -0.10537)","(-0.144504, -0.654719, 0.741931)","(0.052862, -0.298123, -0.953063)","(-0.002948, -0.957641, -0.28795)"
1.421238,"(-0.000027, 0.02031, 0.030638)","(-0.041159, 0.995232, 0.088423)","(-0.502724, -0.775037, -0.382866)","(0.504199, -0.138299, -0.852442)","(-0.001899, -0.595846, 0.803097)","(0.225562, -0.809455, -0.542129)","(0.003596, -0.852147, 0.52329)","(-0.1262, -0.979124, 0.15934)","(0.063498, -0.134613, -0.988862)","(-0.052607, -0.928942, -0.366468)"
1.486439,"(-0.000007, 0.005055, -0.000325)","(-0.012811, 0.916909, 0.398891)","(-0.361374, -0.546277, -0.755639)","(0.605869, -0.384814, -0.696306)","(-0.039278, -0.900968, 0.432103)","(0.246619, -0.932922, -0.262366)","(-0.063514, -0.462325, 0.884433)","(-0.126467, -0.962911, 0.238344)","(0.083156, -0.335334, -0.938422)","(-0.056011, -0.934412, -0.351762)"
1.550488,"(0.000003, 0.025209, -0.010054)","(0.004402, 0.897607, 0.440776)","(-0.303584, -0.352691, -0.885125)","(0.658551, -0.606211, -0.445892)","(-0.14494, -0.97269, 0.181291)","(0.259627, -0.941223, 0.216084)","(-0.059763, -0.250245, 0.966336)","(-0.114326, -0.971913, 0.205707)","(0.095197, -0.785347, -0.611692)","(-0.063641, -0.950853, -0.303032)"
1.614349,"(0.000016, 0.019763, -0.012122)","(0.024121, 0.953227, 0.301292)","(-0.254955, -0.120983, -0.959355)","(0.669294, -0.74299, 0.003232)","(-0.292468, -0.947699, -0.127785)","(0.189566, -0.515101, 0.835904)","(0.02716, -0.34355, 0.938741)","(-0.109934, -0.991869, 0.064117)","(0.041132, -0.998988, 0.018184)","(-0.065026, -0.863679, -0.49983)"
1.679245,"(0.000024, -0.092285, -0.008747)","(0.044803, 0.998451, 0.032998)","(-0.213824, 0.045538, -0.97581)","(0.63469, -0.688171, 0.351553)","(-0.396016, -0.840877, -0.368914)","(0.099777, 0.104415, 0.989516)","(0.098997, -0.462936, 0.880846)","(-0.112796, -0.927265, -0.35701)","(0.010142, -0.9928, 0.119357)","(-0.060673, -0.669217, -0.740586)"
1.747444,"(0.000041, -0.164699, 0.002373)","(0.056476, 0.983177, -0.173705)","(-0.201013, 0.086952, -0.975722)","(0.614782, -0.65919, 0.433027)","(-0.419705, -0.772525, -0.4765)","(0.031094, 0.34033, 0.939792)","(0.122758, -0.38166, 0.916115)","(-0.123065, -0.903217, -0.411161)","(-0.005603, -0.998055, 0.06209)","(-0.055003, -0.567817, -0.821315)"
1.816566,"(-0.000008, -0.08781, 0.027337)","(0.056624, 0.980101, -0.190252)","(-0.235012, -0.044226, -0.970986)","(0.618723, -0.76735, 0.168392)","(-0.376422, -0.809191, -0.451128)","(0.08877, 0.198717, 0.976028)","(0.11205, -0.621442, 0.775406)","(-0.129952, -0.982142, -0.136052)","(0.028676, -0.962961, -0.268112)","(-0.025764, -0.35763, -0.933508)"
1.881592,"(0.000003, 0.013395, 0.035971)","(0.040121, 0.999169, 0.007247)","(-0.329938, -0.356194, -0.874224)","(0.504663, -0.744735, -0.436676)","(-0.302425, -0.922095, -0.241413)","(0.281883, -0.267109, 0.921518)","(0.102153, -0.970366, 0.218988)","(-0.092264, -0.951663, 0.292958)","(0.071289, -0.903996, -0.421555)","(0.001666, -0.203472, -0.979079)"
1.925163,"(-0.000029, 0.013176, 0.01527)","(0.015544, 0.958943, 0.283173)","(-0.452225, -0.639414, -0.621806)","(0.320892, -0.48547, -0.813233)","(-0.267006, -0.959591, 0.08884)","(0.352984, -0.642775, 0.679884)","(0.097276, -0.978409, 0.182354)","(-0.050367, -0.652139, 0.756424)","(0.088796, -0.927342, -0.363528)","(0.015685, -0.199065, -0.979861)"
1.971592,"(0.000007, 0.001315, -0.001165)","(0.004239, 0.914876, 0.403712)","(-0.532291, -0.743789, -0.404283)","(0.25907, -0.357404, -0.897299)","(-0.263274, -0.908118, 0.325589)","(0.318519, -0.773429, 0.548045)","(0.095109, -0.96397, 0.248426)","(-0.042446, -0.523824, 0.850769)","(0.091855, -0.919019, -0.383363)","(0.017205, -0.259403, -0.965616)"
2.017567,"(0.000047, 0.017218, -0.008212)","(-0.000035, 0.894331, 0.447406)","(-0.598484, -0.784204, -0.163829)","(0.232293, -0.235974, -0.943587)","(-0.234218, -0.76417, 0.600988)","(0.261195, -0.893547, 0.365173)","(0.094145, -0.972267, 0.214087)","(-0.049091, -0.315837, 0.947543)","(0.091296, -0.939503, -0.330149)","(0.013496, -0.59854, -0.800979)"
2.088493,"(-0.000001, 0.03172, -0.011417)","(-0.005, 0.918423, 0.395568)","(-0.647838, -0.759597, 0.057606)","(0.242196, -0.097347, -0.965331)","(-0.160744, -0.489565, 0.857022)","(0.210656, -0.975209, 0.06776)","(0.092963, -0.980166, 0.175024)","(-0.084594, -0.191539, 0.977833)","(0.090122, -0.917496, -0.387399)","(0.026524, -0.961195, -0.274591)"
2.158772,"(-0.000015, -0.034318, -0.010879)","(-0.027873, 0.988693, 0.147344)","(-0.692919, -0.656696, 0.29768)","(0.297455, 0.076446, -0.95167)","(0.00065, 0.028295, 0.999599)","(0.198716, -0.887757, -0.415211)","(0.102061, -0.96212, -0.252804)","(-0.11933, -0.436652, 0.891681)","(0.07719, -0.755703, -0.650349)","(0.018278, -0.985555, 0.168365)"
2.204353,"(-0.000026, -0.164246, -0.001541)","(-0.051392, 0.990636, -0.126486)","(-0.70629, -0.595166, 0.383317)","(0.335829, 0.146525, -0.930457)","(0.087951, 0.267741, 0.959468)","(0.243524, -0.725436, -0.643769)","(0.113957, -0.910664, -0.39712)","(-0.138281, -0.394959, 0.908232)","(0.0675, -0.546357, -0.834828)","(0.013868, -0.995785, 0.090666)"
2.254723,"(-0.000048, -0.154482, 0.010613)","(-0.057734, 0.977134, -0.204638)","(-0.700372, -0.620618, 0.35258)","(0.348314, 0.13802, -0.927161)","(0.08107, 0.227518, 0.970393)","(0.257821, -0.688678, -0.67768)","(0.116481, -0.919957, -0.374316)","(-0.142405, -0.416315, 0.897999)","(0.063449, -0.474226, -0.878114)","(0.012229, -0.996307, 0.084984)"
2.306614,"(0.000018, -0.076407, 0.029646)","(-0.056756, 0.98214, -0.179389)","(-0.658457, -0.731661, 0.176369)","(0.392336, 0.072256, -0.916979)","(0.045657, 0.000616, 0.998957)","(0.25129, -0.70056, -0.667884)","(0.098554, -0.990883, -0.091865)","(-0.144684, -0.670585, 0.727587)","(0.052528, -0.292204, -0.954912)","(-0.003764, -0.952671, -0.30398)"
2.357643,"(-0.000065, 0.003918, 0.036162)","(-0.048825, 0.998287, -0.032237)","(-0.565129, -0.80648, -0.173836)","(0.464052, -0.051692, -0.884299)","(0.008247, -0.390629, 0.920511)","(0.236214, -0.762149, -0.60277)","(0.04224, -0.954495, 0.295219)","(-0.134249, -0.947938, 0.288777)","(0.055171, -0.167862, -0.984266)","(-0.036431, -0.901832, -0.430549)"
2.406017,"(0.000033, 0.020748, 0.023185)","(-0.034094, 0.982069, 0.185414)","(-0.456498, -0.722348, -0.519445)","(0.535609, -0.204188, -0.819409)","(-0.005856, -0.718384, 0.695622)","(0.225747, -0.845476, -0.483951)","(-0.025555, -0.729698, 0.683292)","(-0.124969, -0.981329, 0.146206)","(0.072773, -0.161108, -0.98425)","(-0.057336, -0.938128, -0.341511)"
2.453693,"(0.000015, 0.007277, 0.003761)","(-0.017628, 0.931994, 0.362045)","(-0.379123, -0.586144, -0.716031)","(0.591099, -0.341691, -0.73065)","(-0.025985, -0.873658, 0.485846)","(0.238846, -0.914488, -0.326595)","(-0.062224, -0.484182, 0.872752)","(-0.127082, -0.966737, 0.221967)","(0.084171, -0.307408, -0.947848)","(-0.056283, -0.935129, -0.349809)"
2.502647,"(-0.000002, 0.010897, -0.006053)","(-0.003634, 0.896595, 0.442836)","(-0.330817, -0.459763, -0.824122)","(0.633756, -0.487165, -0.600853)","(-0.082119, -0.943854, 0.319993)","(0.260863, -0.962412, -0.075594)","(-0.0601, -0.416172, 0.907297)","(-0.120936, -0.964987, 0.232753)","(0.082614, -0.461581, -0.883243)","(-0.059217, -0.944742, -0.322422)"
2.55162,"(-0.000011, 0.030358, -0.01107)","(0.008871, 0.906341, 0.422453)","(-0.290895, -0.294425, -0.910326)","(0.667537, -0.66003, -0.344608)","(-0.181045, -0.977884, 0.104713)","(0.250525, -0.887111, 0.38765)","(-0.050569, -0.223367, 0.973422)","(-0.112377, -0.973763, 0.197882)","(0.095378, -0.89711, -0.43139)","(-0.06458, -0.942711, -0.327301)"
2.598473,"(0.000004, 0.018808, -0.012109)","(0.024506, 0.954446, 0.297377)","(-0.253786, -0.117569, -0.960089)","(0.668846, -0.743316, 0.011212)","(-0.294251, -0.94645, -0.132849)","(0.187765, -0.503622, 0.843273)","(0.028961, -0.347642, 0.93718)","(-0.109956, -0.992227, 0.058265)","(0.039912, -0.998881, 0.025388)","(-0.064958, -0.860621, -0.505086)"
2.668407,"(0.000066, -0.055571, -0.01025)","(0.040176, 0.993863, 0.103064)","(-0.223178, 0.01691, -0.974631)","(0.643217, -0.708764, 0.289698)","(-0.380543, -0.86697, -0.321792)","(0.118759, -0.024925, 0.99261)","(0.086778, -0.460116, 0.883608)","(-0.110352, -0.950477, -0.290544)","(0.012069, -0.98977, 0.142164)","(-0.062831, -0.726694, -0.684082)"
2.711826,"(0.000059, -0.164361, -0.000018)","(0.055342, 0.986983, -0.151002)","(-0.200258, 0.089278, -0.975667)","(0.616238, -0.654891, 0.437457)","(-0.420472, -0.777567, -0.467539)","(0.040682, 0.330612, 0.94289)","(0.122021, -0.386353, 0.914244)","(-0.123129, -0.909116, -0.397928)","(-0.005802, -0.997765, 0.066574)","(-0.054203, -0.563101, -0.824609)"
2.759281,"(0.000063, -0.143117, 0.013375)","(0.058183, 0.97635, -0.20822)","(-0.209439, 0.048934, -0.976597)","(0.616394, -0.700413, 0.359834)","(-0.405012, -0.776085, -0.483382)","(0.033547, 0.317583, 0.947637)","(0.119166, -0.437809, 0.891136)","(-0.132173, -0.933827, -0.332411)","(0.006281, -0.998578, 0.052943)","(-0.042458, -0.462005, -0.88586)"
2.805576,"(-0.000056, -0.066501, 0.031778)","(0.055088, 0.983688, -0.171241)","(-0.244997, -0.095898, -0.964769)","(0.611789, -0.786959, 0.080066)","(-0.352418, -0.833583, -0.425371)","(0.117167, 0.136667, 0.983664)","(0.111139, -0.71143, 0.693913)","(-0.125773, -0.989391, -0.072709)","(0.035841, -0.932289, -0.359934)","(-0.020724, -0.335092, -0.941957)"
2.853111,"(0.000032, 0.003208, 0.036698)","(0.043839, 0.998381, -0.036256)","(-0.313734, -0.299876, -0.900914)","(0.535077, -0.773518, -0.33965)","(-0.315483, -0.904474, -0.287051)","(0.25297, -0.185354, 0.949553)","(0.103865, -0.950651, 0.292361)","(-0.100014, -0.971294, 0.215837)","(0.06538, -0.889579, -0.452079)","(-0.002143, -0.231217, -0.9729)"
2.898853,"(-0.000005, 0.023791, 0.026611)","(0.026188, 0.985755, 0.166134)","(-0.397031, -0.529713, -0.749514)","(0.39391, -0.603755, -0.693047)","(-0.276979, -0.958676, -0.064982)","(0.343532, -0.506863, 0.790617)","(0.099236, -0.98629, 0.13185)","(-0.066586, -0.825494, 0.56047)","(0.083449, -0.931895, -0.352999)","(0.011283, -0.151157, -0.988445)"
2.943279,"(0.000036, 0.006466, 0.007906)","(0.01038, 0.940833, 0.338711)","(-0.48459, -0.689186, -0.538698)","(0.290811, -0.428544, -0.855441)","(-0.264642, -0.946972, 0.182232)","(0.344083, -0.701168, 0.624476)","(0.096174, -0.971492, 0.21669)","(-0.043859, -0.580378, 0.813165)","(0.090458, -0.921976, -0.376533)","(0.015374, -0.225559, -0.974108)"
2.988815,"(-0.000002, 0.004713, -0.004415)","(0.001525, 0.901568, 0.432634)","(-0.560187, -0.767984, -0.31047)","(0.24394, -0.31381, -0.917615)","(-0.256613, -0.866497, 0.428175)","(0.296274, -0.818762, 0.491783)","(0.09492, -0.965874, 0.240995)","(-0.042442, -0.500082, 0.864938)","(0.091811, -0.926811, -0.364132)","(0.016029, -0.308194, -0.951189)"
3.034565,"(-0.000018, 0.024855, -0.00958)","(-0.000888, 0.898572, 0.438825)","(-0.618575, -0.781926, -0.077179)","(0.232386, -0.184909, -0.954885)","(-0.211908, -0.676883, 0.704929)","(0.240491, -0.933532, 0.265862)","(0.093864, -0.975694, 0.198016)","(-0.056989, -0.21853, 0.974165)","(0.091003, -0.939668, -0.329762)","(0.014197, -0.782093, -0.623)"
3.079548,"(-0.000056, 0.028683, -0.012062)","(-0.009077, 0.935805, 0.352402)","(-0.659936, -0.740456, 0.127315)","(0.253301, -0.048422, -0.966175)","(-0.122463, -0.364335, 0.923181)","(0.199057, -0.978295, -0.057572)","(0.094079, -0.987558, 0.126012)","(-0.101761, -0.2435, 0.964548)","(0.088418, -0.890239, -0.44683)","(0.035188, -0.994272, -0.100922)"
3.126923,"(0.000031, -0.017818, -0.011441)","(-0.024445, 0.982342, 0.185493)","(-0.689556, -0.669444, 0.276329)","(0.291434, 0.061038, -0.954642)","(-0.018202, -0.027559, 0.999454)","(0.197394, -0.909492, -0.365869)","(0.10118, -0.977098, -0.187197)","(-0.118353, -0.416645, 0.901332)","(0.078853, -0.778878, -0.622199)","(0.023019, -0.98772, 0.154529)"
3.177074,"(0.00004, -0.119585, -0.006913)","(-0.042272, 0.998946, -0.017873)","(-0.70319, -0.611829, 0.3622)","(0.32333, 0.127828, -0.937613)","(0.064261, 0.206603, 0.976312)","(0.2229, -0.787099, -0.575144)","(0.107779, -0.909891, -0.400602)","(-0.128897, -0.449094, 0.884138)","(0.071286, -0.624457, -0.777799)","(0.006274, -0.992015, 0.125963)"
3.243103,"(-0.000054, -0.168911, 0.002119)","(-0.054956, 0.983978, -0.169609)","(-0.706037, -0.595623, 0.383073)","(0.33864, 0.148646, -0.9291)","(0.088852, 0.268913, 0.959058)","(0.252236, -0.70538, -0.662432)","(0.114026, -0.898249, -0.424437)","(-0.140539, -0.379749, 0.914352)","(0.068509, -0.555532, -0.828668)","(0.015434, -0.996398, 0.083379)"
3.308632,"(0.000009, -0.097484, 0.025354)","(-0.057561, 0.979004, -0.195548)","(-0.668877, -0.706711, 0.23057)","(0.377724, 0.091674, -0.921369)","(0.055293, 0.067263, 0.996202)","(0.251931, -0.693766, -0.6747)","(0.106086, -0.980215, -0.167106)","(-0.144315, -0.58642, 0.797047)","(0.054218, -0.325713, -0.943913)","(0.001241, -0.979496, -0.20146)"
3.37413,"(-0.000055, 0.005969, 0.036094)","(-0.04836, 0.998533, -0.02437)","(-0.560659, -0.806162, -0.189113)","(0.46715, -0.057476, -0.882308)","(0.007366, -0.406322, 0.9137)","(0.235554, -0.765282, -0.599047)","(0.039448, -0.949475, 0.311354)","(-0.133525, -0.95225, 0.274575)","(0.055676, -0.163891, -0.984906)","(-0.037885, -0.90432, -0.425171)"
3.433876,"(0.000008, 0.016748, 0.015168)","(-0.02843, 0.966671, 0.25444)","(-0.426561, -0.67458, -0.602484)","(0.556909, -0.25286, -0.791148)","(-0.010167, -0.787728, 0.61594)","(0.22805, -0.871435, -0.434275)","(-0.043346, -0.610832, 0.790573)","(-0.125613, -0.977486, 0.169535)","(0.079177, -0.227464, -0.970562)","(-0.057875, -0.939607, -0.337328)"
3.474739,"(-0.000017, 0.005985, -0.002887)","(-0.009075, 0.906813, 0.421436)","(-0.348174, -0.513815, -0.784072)","(0.616966, -0.422498, -0.663965)","(-0.053389, -0.919464, 0.389532)","(0.252927, -0.946641, -0.199749)","(-0.062814, -0.45635, 0.887581)","(-0.124648, -0.9626, 0.24055)","(0.08184, -0.362135, -0.928526)","(-0.056845, -0.937882, -0.342267)"
3.519951,"(-0.000021, 0.020553, -0.008925)","(0.001461, 0.894638, 0.44679)","(-0.312482, -0.392618, -0.864989)","(0.650802, -0.564177, -0.508095)","(-0.120649, -0.964934, 0.233125)","(0.262732, -0.959395, 0.102631)","(-0.062216, -0.295701, 0.953253)","(-0.116048, -0.969748, 0.214761)","(0.092438, -0.680353, -0.727031)","(-0.062319, -0.951651, -0.300795)"
3.564705,"(0.000007, 0.031824, -0.011886)","(0.014032, 0.92055, 0.390372)","(-0.278103, -0.230849, -0.932399)","(0.672063, -0.705773, -0.224089)","(-0.22142, -0.974964, 0.020449)","(0.233097, -0.788361, 0.569345)","(-0.031411, -0.241512, 0.969889)","(-0.111329, -0.97748, 0.179272)","(0.085241, -0.966472, -0.242213)","(-0.065073, -0.923752, -0.377422)"
3.610104,"(-0.000149, 0.004832, -0.011972)","(0.029014, 0.968358, 0.247875)","(-0.239392, -0.081565, -0.967491)","(0.663207, -0.741556, 0.101251)","(-0.310999, -0.931422, -0.189029)","(0.167164, -0.365368, 0.915731)","(0.049202, -0.393434, 0.918035)","(-0.110152, -0.993302, -0.034893)","(0.027742, -0.995485, 0.090774)","(-0.064308, -0.823285, -0.563973)"
3.656235,"(0.000043, -0.082908, -0.009191)","(0.043631, 0.997733, 0.05123)","(-0.216444, 0.038784, -0.975524)","(0.63692, -0.693474, 0.336789)","(-0.39265, -0.847515, -0.357134)","(0.104699, 0.072608, 0.99185)","(0.09595, -0.463572, 0.880849)","(-0.11226, -0.933136, -0.341548)","(0.010791, -0.992032, 0.125521)","(-0.061229, -0.683308, -0.727559)"
3.705944,"(0.000017, -0.15869, -0.002313)","(0.053696, 0.991392, -0.119411)","(-0.201061, 0.086934, -0.975714)","(0.618347, -0.656102, 0.43264)","(-0.419273, -0.786623, -0.453249)","(0.054114, 0.306389, 0.950367)","(0.119918, -0.399358, 0.908918)","(-0.12312, -0.918618, -0.375477)","(-0.004403, -0.997408, 0.071823)","(-0.052925, -0.556146, -0.829398)"
3.753777,"(0.00006, -0.149369, 0.011135)","(0.058069, 0.97691, -0.205611)","(-0.206769, 0.059011, -0.976609)","(0.61451, -0.691792, 0.379212)","(-0.408529, -0.773503, -0.484559)","(0.030106, 0.326616, 0.944678)","(0.12017, -0.421324, 0.898913)","(-0.130552, -0.926062, -0.35407)","(0.003395, -0.998053, 0.062276)","(-0.045543, -0.485533, -0.873032)"
3.801144,"(-0.000007, -0.076616, 0.029703)","(0.055879, 0.981903, -0.180954)","(-0.241379, -0.069412, -0.967945)","(0.615613, -0.778401, 0.122935)","(-0.366445, -0.820566, -0.438623)","(0.103198, 0.16709, 0.980526)","(0.111351, -0.668264, 0.735544)","(-0.128024, -0.986574, -0.101398)","(0.032694, -0.94692, -0.319804)","(-0.023057, -0.344937, -0.938343)"
3.848682,"(0.00004, -0.001822, 0.036756)","(0.045261, 0.997565, -0.053067)","(-0.306635, -0.277159, -0.910581)","(0.54679, -0.782275, -0.29844)","(-0.320447, -0.896922, -0.304704)","(0.240218, -0.151508, 0.958823)","(0.104449, -0.939719, 0.325606)","(-0.102975, -0.977289, 0.185211)","(0.062891, -0.884265, -0.462732)","(-0.003851, -0.243406, -0.969917)"
3.895435,"(0.000008, 0.023919, 0.027963)","(0.027876, 0.988709, 0.147232)","(-0.389147, -0.510348, -0.766883)","(0.406695, -0.622536, -0.668617)","(-0.279578, -0.956127, -0.087508)","(0.339155, -0.481974, 0.807883)","(0.0995, -0.986054, 0.133405)","(-0.069533, -0.845632, 0.529218)","(0.082421, -0.930531, -0.356818)","(0.010413, -0.15155, -0.988395)"
3.943787,"(0.000037, 0.007628, 0.009295)","(0.011313, 0.94434, 0.328776)","(-0.47797, -0.680488, -0.555412)","(0.295563, -0.43855, -0.848715)","(-0.264676, -0.950339, 0.163715)","(0.346711, -0.690919, 0.634368)","(0.096357, -0.97283, 0.210514)","(-0.044386, -0.589917, 0.806243)","(0.090194, -0.922995, -0.374092)","(0.015103, -0.222482, -0.97482)"
3.991535,"(-0.000002, 0.004839, -0.004501)","(0.001458, 0.901249, 0.433299)","(-0.560899, -0.768535, -0.307809)","(0.243573, -0.312545, -0.918144)","(-0.256324, -0.865125, 0.431111)","(0.295638, -0.820044, 0.490027)","(0.094916, -0.965944, 0.240715)","(-0.042495, -0.498669, 0.86575)","(0.09181, -0.927022, -0.363595)","(0.016002, -0.310618, -0.9504)"
